Game ID,ID,Date,Game Number,Homeruns Allowed 10 Game Window,Hits Allowed 10 Game Window,Strikeouts 10 Game Window,Walks 10 Game Window,Earned Runs 10 Game Window,ERA 10 Game Window,WHIP 10 Game Window,FIP 10 Game Window
WAS201604260,velav001,2016-04-26,0,5.0,46.0,67.0,17.0,16.0,2.526315789473684,1.105263157894737,2.936842105263158
PHI201605010,velav001,2016-05-01,0,5.0,48.0,66.0,15.0,19.0,2.9482758620689653,1.0862068965517242,2.8724137931034486
MIA201605060,velav001,2016-05-06,0,4.0,43.0,65.0,17.0,14.0,2.1235955056179776,1.0112359550561798,2.795505617977528
ATL201605120,velav001,2016-05-12,0,5.0,48.0,65.0,14.0,17.0,2.481081081081081,1.0054054054054054,2.8756756756756756
PHI201605170,velav001,2016-05-17,0,5.0,49.0,68.0,15.0,20.0,2.9347826086956523,1.0434782608695652,2.825
DET201605230,velav001,2016-05-23,0,4.0,47.0,71.0,16.0,17.0,2.55,1.05,2.5500000000000003
CHN201605290,velav001,2016-05-29,0,6.0,50.0,68.0,16.0,18.0,2.8092485549132946,1.1445086705202312,3.078612716763006
PHI201606030,velav001,2016-06-03,0,8.0,52.0,67.0,18.0,22.0,3.494117647058823,1.2352941176470587,3.6764705882352944
PHI201606080,velav001,2016-06-08,0,8.0,53.0,64.0,18.0,23.0,3.7636363636363632,1.2909090909090908,3.8000000000000003
ARI201606270,velav001,2016-06-27,0,8.0,50.0,48.0,18.0,23.0,4.467625899280574,1.4676258992805753,4.602877697841727
PHI201607030,velav001,2016-07-03,0,6.0,50.0,51.0,18.0,21.0,4.0212765957446805,1.4468085106382977,3.8382978723404255
COL201607080,velav001,2016-07-08,0,7.0,50.0,54.0,18.0,20.0,3.8297872340425525,1.4468085106382977,3.9872340425531916
PHI201607190,velav001,2016-07-19,0,7.0,56.0,54.0,16.0,22.0,4.212765957446808,1.531914893617021,3.8595744680851065
PIT201607240,velav001,2016-07-24,0,7.0,52.0,54.0,19.0,19.0,3.537931034482758,1.468965517241379,4.027586206896552
ATL201607290,velav001,2016-07-29,0,8.0,53.0,54.0,21.0,20.0,3.724137931034482,1.5310344827586204,4.4206896551724135
PHI201608040,velav001,2016-08-04,0,8.0,57.0,49.0,21.0,22.0,4.013513513513513,1.5810810810810807,4.598648648648648
