Game ID,ID,Date,Game Number,Homeruns Allowed 10 Game Window,Hits Allowed 10 Game Window,Strikeouts 10 Game Window,Walks 10 Game Window,Earned Runs 10 Game Window,ERA 10 Game Window,WHIP 10 Game Window,FIP 10 Game Window
TBA201406060,younc003,2014-06-06,0,10.0,46.0,28.0,24.0,22.0,3.2282608695652177,1.1413043478260871,5.629347826086956
SEA201406110,younc003,2014-06-11,0,10.0,49.0,29.0,25.0,25.0,3.7292817679558015,1.2265193370165748,5.686187845303868
SEA201406160,younc003,2014-06-16,0,10.0,49.0,31.0,25.0,25.0,3.609625668449198,1.1871657754010696,5.5422459893048135
KCA201406210,younc003,2014-06-21,0,9.0,49.0,31.0,21.0,22.0,3.2282608695652177,1.1413043478260871,5.172826086956523
SEA201406270,younc003,2014-06-27,0,9.0,49.0,30.0,19.0,22.0,3.1764705882352944,1.090909090909091,5.077005347593583
HOU201407020,younc003,2014-07-02,0,8.0,50.0,32.0,18.0,21.0,3.081521739130435,1.108695652173913,4.830434782608696
SEA201407080,younc003,2014-07-08,0,10.0,49.0,37.0,19.0,22.0,3.2817679558011053,1.12707182320442,5.172375690607735
SEA201407130,younc003,2014-07-13,0,9.0,45.0,43.0,19.0,18.0,2.685082872928177,1.0607734806629836,4.758011049723757
ANA201407200,younc003,2014-07-20,0,8.0,43.0,44.0,17.0,17.0,2.55,1.0,4.366666666666667
SEA201407260,younc003,2014-07-26,0,9.0,51.0,46.0,14.0,19.0,2.865921787709497,1.089385474860335,4.373184357541899
CLE201407310,younc003,2014-07-31,0,8.0,50.0,48.0,15.0,18.0,2.67032967032967,1.0714285714285714,4.172527472527473
SEA201408060,younc003,2014-08-06,0,9.0,50.0,46.0,13.0,19.0,2.80327868852459,1.0327868852459017,4.3475409836065575
SEA201408120,younc003,2014-08-12,0,8.0,50.0,50.0,12.0,18.0,2.6557377049180326,1.0163934426229508,3.954098360655738
DET201408170,younc003,2014-08-17,0,8.0,48.0,47.0,13.0,19.0,2.80327868852459,1.0,4.101639344262296
BOS201408230,younc003,2014-08-23,0,7.0,49.0,49.0,13.0,18.0,2.685082872928177,1.0276243093922652,3.8298342541436465
OAK201409010,younc003,2014-09-01,0,7.0,52.0,47.0,17.0,20.0,3.050847457627119,1.169491525423729,4.0644067796610175
TEX201409060,younc003,2014-09-06,0,6.0,54.0,39.0,18.0,22.0,3.7594936708860764,1.3670886075949369,4.282278481012659
