,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,BAL201608020,1,1,0,0,0,0,0,0,1,1,2,0,0,0,0,andre001
0,BAL201608030,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,andre001
0,BAL201608040,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,andre001
0,KCA201506050,2,2,0,0,0,1,0,0,0,0,3,0,0,0,0,andre001
0,KCA201506060,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,andre001
0,KCA201506070,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,andre001
0,CHA201604220,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,andre001
0,CHA201604230,1,0,0,1,0,0,0,0,1,2,4,0,0,0,0,andre001
0,CHA201604240,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,andre001
0,ATL201709040,1,0,0,0,1,0,0,0,0,1,5,0,0,0,0,andre001
0,ATL201709061,4,2,1,0,1,0,0,0,0,3,5,0,0,0,0,andre001
0,ATL201709062,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,andre001
0,NYN201407040,3,3,0,0,0,0,0,0,0,0,5,0,0,0,0,andre001
0,NYN201407050,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,andre001
0,NYN201407060,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,andre001
0,OAK201504060,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,andre001
0,OAK201504070,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,andre001
0,OAK201504080,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,andre001
0,OAK201504090,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,andre001
0,OAK201506090,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,andre001
0,OAK201506100,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,andre001
0,OAK201506110,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,andre001
0,OAK201509220,2,1,1,0,0,1,0,0,0,0,4,0,0,0,0,andre001
0,OAK201509230,2,0,1,0,1,0,0,0,0,3,4,0,0,0,0,andre001
0,OAK201509240,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,andre001
0,BOS201807090,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,andre001
0,BOS201807100,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,andre001
0,BOS201807110,3,1,2,0,0,0,0,0,0,0,5,0,0,0,0,andre001
0,NYN201708080,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,andre001
0,NYN201708090,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,andre001
0,OAK201804020,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,andre001
0,OAK201804030,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,andre001
0,OAK201804040,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,andre001
0,OAK201804050,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,andre001
0,OAK201808200,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,andre001
0,OAK201808210,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,andre001
0,OAK201808220,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,andre001
0,OAK201809070,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,andre001
0,OAK201809080,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,andre001
0,CIN201906140,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,andre001
0,CIN201906150,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,andre001
0,TOR201407180,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,andre001
0,TOR201407190,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,andre001
0,TOR201407200,2,1,1,0,0,0,0,0,0,0,5,0,0,0,0,andre001
0,DET201405220,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,andre001
