,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,MIA201905140,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,bemba001
0,MIA201905150,2,1,1,0,0,0,0,0,0,1,2,0,0,0,0,bemba001
0,OAK201909040,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,bemba001
0,NYA201909170,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,bemba001
0,BOS201908110,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,bemba001
0,TEX201908190,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,bemba001
0,TEX201908201,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,bemba001
0,TEX201908202,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,bemba001
0,ANA201908140,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,bemba001
0,ANA201908160,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,bemba001
0,ANA201908170,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,bemba001
0,ANA201908180,1,0,0,0,1,0,0,0,0,2,4,0,0,0,0,bemba001
0,ANA201909090,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,bemba001
0,ANA201909100,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,bemba001
0,ANA201909140,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,bemba001
0,ANA201909250,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,bemba001
0,ANA201909270,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,bemba001
0,ANA201909290,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,bemba001
0,TBA201905120,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,bemba001
0,HOU201908230,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,bemba001
0,HOU201909220,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,bemba001
0,CHA201909060,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,bemba001
