,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,KCA201507240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,cartc002
0,KCA201507250,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,cartc002
0,NYN201409260,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,cartc002
0,NYN201409270,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,cartc002
0,PIT201604150,2,1,1,0,0,2,0,0,0,0,3,0,0,0,0,cartc002
0,PIT201604160,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,cartc002
0,PIT201604170,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,cartc002
0,PIT201607190,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,cartc002
0,PIT201607200,1,0,1,0,0,2,0,0,1,2,2,0,0,0,0,cartc002
0,PIT201607210,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,cartc002
0,PIT201609020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,cartc002
0,PIT201609030,4,3,0,0,1,0,0,0,0,3,5,0,0,0,0,cartc002
0,PIT201609040,2,0,1,0,1,0,0,0,0,3,5,0,0,0,0,cartc002
0,OAK201504240,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,cartc002
0,OAK201504250,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,cartc002
0,OAK201504260,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,cartc002
0,OAK201508080,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,cartc002
0,OAK201508090,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,cartc002
0,OAK201509070,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,cartc002
0,TOR201404080,2,0,2,0,0,0,0,0,0,0,4,0,0,0,0,cartc002
0,TOR201404090,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,cartc002
0,TOR201404100,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,cartc002
0,DET201405050,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,cartc002
0,DET201405060,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,cartc002
0,DET201405070,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,cartc002
0,DET201405080,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,cartc002
0,WAS201607050,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,cartc002
0,WAS201607060,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,cartc002
0,ARI201406090,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,cartc002
0,BOS201507030,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,cartc002
0,BOS201507050,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,cartc002
0,TBA201406190,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,cartc002
