,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,PIT201605010,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,dejei002
0,PIT201608050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dejei002
0,PIT201608060,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,dejei002
0,PIT201609100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dejei002
0,PIT201609110,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,dejei002
0,WAS201606300,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,dejei002
0,ANA201608290,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,dejei002
0,SFN201607250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dejei002
0,SFN201607260,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dejei002
0,HOU201606180,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,dejei002
0,ARI201608260,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,dejei002
0,ARI201608270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dejei002
0,ARI201508070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dejei002
0,ARI201508080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dejei002
0,ARI201508090,2,1,1,0,0,0,0,0,0,1,4,0,0,0,0,dejei002
0,SLN201608090,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,dejei002
0,SLN201608100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dejei002
0,SLN201609260,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,dejei002
0,SLN201609270,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,dejei002
0,SLN201609280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dejei002
0,SLN201609290,2,2,0,0,0,1,0,0,0,0,3,0,0,0,0,dejei002
0,MIL201605270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dejei002
0,MIL201605280,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,dejei002
0,MIL201605290,2,2,0,0,0,0,0,0,0,1,4,0,0,0,0,dejei002
0,MIL201608120,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,dejei002
0,MIL201608130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dejei002
0,MIL201608140,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,dejei002
0,MIL201609240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dejei002
0,MIL201609250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dejei002
0,CIN201506050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dejei002
0,CIN201506080,2,0,1,0,1,0,0,0,0,2,4,0,0,0,0,dejei002
0,CIN201506090,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,dejei002
0,CIN201506100,1,0,0,0,1,0,0,0,0,3,4,0,0,0,0,dejei002
0,CIN201506170,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,dejei002
0,CIN201506210,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dejei002
0,CIN201506290,2,2,0,0,0,2,0,0,0,1,3,0,0,0,0,dejei002
0,CIN201506300,2,2,0,0,0,0,0,0,0,1,5,0,0,0,0,dejei002
0,CIN201507030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dejei002
0,CIN201507040,2,1,0,0,1,1,0,0,0,1,2,0,0,0,0,dejei002
0,CIN201507050,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,dejei002
0,CIN201507180,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,dejei002
0,CIN201507190,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,dejei002
0,CIN201507210,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,dejei002
0,CIN201507222,2,2,0,0,0,1,0,0,0,1,4,0,0,0,0,dejei002
0,CIN201507300,3,3,0,0,0,1,0,0,0,0,5,0,0,0,0,dejei002
0,CIN201507310,1,0,0,0,1,0,0,0,0,2,4,0,0,0,0,dejei002
0,CIN201508020,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,dejei002
0,CIN201508050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dejei002
0,CIN201508060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dejei002
0,CIN201508180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dejei002
0,CIN201508190,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,dejei002
0,CIN201508200,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,dejei002
