,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,SFN201907070,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,flahj002
0,ATL201905140,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,flahj002
0,NYN201906130,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,flahj002
0,CIN201907210,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,flahj002
0,CIN201908180,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,flahj002
0,CHN201905030,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,flahj002
0,CHN201906080,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,flahj002
0,CHN201909190,1,1,0,0,0,0,2,1,0,0,2,0,0,0,0,flahj002
0,CIN201807250,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,flahj002
0,SFN201709010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,flahj002
0,SDN201709060,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,flahj002
0,LAN201908070,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,flahj002
0,PIT201909080,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,flahj002
0,LAN201808220,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,flahj002
0,PIT201804280,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,flahj002
0,PIT201805260,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,flahj002
0,PIT201808050,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,flahj002
0,ARI201807030,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,flahj002
0,SLN201904050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,flahj002
0,SLN201904100,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,flahj002
0,SLN201904220,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,flahj002
0,SLN201904280,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,flahj002
0,SLN201905080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,flahj002
0,SLN201905260,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,flahj002
0,SLN201906010,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,flahj002
0,SLN201906180,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,flahj002
0,SLN201906250,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,flahj002
0,SLN201907160,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,flahj002
0,SLN201907260,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,flahj002
0,SLN201908010,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,flahj002
0,SLN201908230,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,flahj002
0,SLN201909030,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,flahj002
0,SLN201909140,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,flahj002
0,SLN201909290,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,flahj002
0,ATL201809190,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,flahj002
0,MIL201804030,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,flahj002
0,MIL201806220,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,flahj002
0,MIL201903290,1,1,0,0,0,0,1,1,0,0,2,0,0,0,0,flahj002
0,MIL201904160,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,flahj002
0,MIL201908280,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,flahj002
0,SLN201709130,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,flahj002
0,SLN201710010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,flahj002
0,SFN201807080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,flahj002
0,SLN201805200,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,flahj002
0,SLN201805310,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,flahj002
0,SLN201806060,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,flahj002
0,SLN201806110,1,1,0,0,0,0,1,1,0,0,2,0,0,0,0,flahj002
0,SLN201806170,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,flahj002
0,SLN201806270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,flahj002
0,SLN201807140,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,flahj002
0,SLN201807310,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,flahj002
0,SLN201808170,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,flahj002
0,SLN201808280,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,flahj002
0,SLN201809140,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,flahj002
0,SLN201809240,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,flahj002
0,CHN201807200,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,flahj002
0,CHN201809300,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,flahj002
0,WAS201809030,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,flahj002
0,ARI201909240,1,1,0,0,0,0,1,0,0,0,3,0,0,0,0,flahj002
