,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,BAL201604080,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,flahr001
0,BAL201605030,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,flahr001
0,BAL201605040,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,flahr001
0,BAL201605050,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,flahr001
0,BAL201605072,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,flahr001
0,BAL201605080,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,flahr001
0,BAL201605120,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,flahr001
0,BAL201605130,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,flahr001
0,BAL201605140,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,flahr001
0,BAL201605150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,flahr001
0,BAL201605180,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,flahr001
0,BAL201605190,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,flahr001
0,BAL201605300,1,0,1,0,0,1,0,0,0,1,3,0,0,0,0,flahr001
0,BAL201606010,1,1,0,0,0,1,0,0,0,2,4,0,0,0,0,flahr001
0,BAL201606020,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,flahr001
0,BAL201606030,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,flahr001
0,BAL201606040,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,flahr001
0,BAL201606050,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,flahr001
0,BAL201606060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,flahr001
0,BAL201606070,1,0,0,0,1,1,0,0,0,1,3,0,0,0,0,flahr001
0,BAL201606080,1,0,1,0,0,0,0,0,0,2,3,0,0,0,0,flahr001
0,BAL201606170,2,0,1,0,1,0,0,0,0,1,4,0,0,0,0,flahr001
0,BAL201606190,2,1,1,0,0,0,0,0,0,2,4,0,0,0,0,flahr001
0,BAL201606210,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,flahr001
0,BAL201606220,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,flahr001
0,BAL201607240,1,1,0,0,0,0,1,1,0,0,3,0,0,0,0,flahr001
0,BAL201608200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,flahr001
0,BAL201609020,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,flahr001
