,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,MIA201808080,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,garca005
0,KCA201808100,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,garca005
0,KCA201808110,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,garca005
0,KCA201808120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,garca005
0,ATL201809180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,garca005
0,SLN201808290,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,garca005
0,SLN201808300,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,garca005
0,SLN201809110,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,garca005
0,SLN201809150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,garca005
0,CHN201809300,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,garca005
