,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,TOR201405080,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,getzc001
0,TOR201405090,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,getzc001
0,TOR201405100,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,getzc001
0,PIT201405020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,getzc001
0,PIT201405030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,getzc001
0,PHI201405050,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,getzc001
0,PHI201405060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,getzc001
0,KCA201404290,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,getzc001
0,KCA201404300,2,1,1,0,0,1,0,0,0,0,3,0,0,0,0,getzc001
0,KCA201405010,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,getzc001
