,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,SFN201905140,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,gricr001
0,SFN201905150,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,gricr001
0,ATL201909020,1,0,0,0,1,0,0,0,1,2,3,0,0,0,0,gricr001
0,ATL201909030,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,gricr001
0,KCA201505220,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,gricr001
0,KCA201505230,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,gricr001
0,KCA201505240,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,gricr001
0,ATL201405050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gricr001
0,ATL201405060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gricr001
0,ATL201405070,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,gricr001
0,ATL201705050,2,1,1,0,0,0,0,0,0,0,5,0,0,0,0,gricr001
0,ATL201705060,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,gricr001
0,ATL201705070,2,0,2,0,0,0,0,0,0,1,7,0,0,0,0,gricr001
0,PIT201604030,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,gricr001
0,PIT201604050,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,gricr001
0,PIT201604060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gricr001
0,PIT201606100,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,gricr001
0,PIT201606110,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,gricr001
0,PIT201606120,1,0,0,0,1,0,0,0,0,1,3,0,0,0,0,gricr001
0,PIT201609050,1,0,1,0,0,1,0,0,0,1,4,0,0,0,0,gricr001
0,PIT201609060,2,1,0,0,1,0,0,0,0,2,5,0,0,0,0,gricr001
0,PIT201609070,2,2,0,0,0,0,0,0,0,1,3,0,0,0,0,gricr001
0,MIL201704200,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,gricr001
0,MIL201704210,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,gricr001
0,MIL201704220,3,1,2,0,0,0,0,0,0,0,4,0,0,0,0,gricr001
0,MIL201704230,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,gricr001
0,MIL201708010,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,gricr001
0,MIL201708020,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,gricr001
0,MIL201708030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gricr001
0,MIL201708290,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,gricr001
0,MIL201708300,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,gricr001
0,BOS201807120,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,gricr001
0,BOS201807130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gricr001
0,BOS201807140,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,gricr001
0,BOS201807150,2,1,1,0,0,1,0,0,0,0,4,0,0,0,0,gricr001
0,BOS201809110,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,gricr001
0,BOS201809130,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,gricr001
0,OAK201807300,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,gricr001
0,OAK201807310,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,gricr001
0,OAK201808010,2,0,2,0,0,0,0,0,0,1,5,0,0,0,0,gricr001
0,TOR201406070,1,0,0,0,1,1,0,0,0,2,4,0,0,0,0,gricr001
0,TOR201406080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,gricr001
0,WAS201605260,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,gricr001
0,WAS201605270,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,gricr001
0,WAS201605280,2,0,1,1,0,0,0,0,0,1,5,0,0,0,0,gricr001
0,WAS201605290,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,gricr001
