,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,ATL201406130,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,hamij003
0,ATL201406140,1,1,0,0,0,0,0,0,0,1,7,0,0,0,0,hamij003
0,ATL201406150,2,2,0,0,0,1,0,0,0,0,4,0,0,0,0,hamij003
0,TBA201408010,2,1,0,0,1,0,0,0,0,1,3,0,0,0,0,hamij003
0,TBA201408020,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,hamij003
0,TBA201408030,2,1,1,0,0,0,0,0,0,1,5,0,0,0,0,hamij003
0,BOS201408190,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,hamij003
0,BOS201408200,2,1,1,0,0,0,0,0,2,3,3,0,0,0,0,hamij003
0,BOS201408210,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,hamij003
0,BAL201506300,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,hamij003
0,BAL201507020,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,hamij003
0,TEX201505280,2,1,1,0,0,0,0,0,0,1,4,0,0,0,0,hamij003
0,TEX201505290,2,0,0,0,2,1,0,0,0,2,3,0,0,0,0,hamij003
0,TEX201505300,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,hamij003
0,TEX201505310,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,hamij003
0,TEX201507030,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,hamij003
0,TEX201507070,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,hamij003
0,TEX201507080,1,0,1,0,0,1,0,0,0,1,4,0,0,0,0,hamij003
0,TEX201507100,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,hamij003
0,TEX201507110,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,hamij003
0,TEX201507120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hamij003
0,TEX201507270,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,hamij003
0,TEX201507290,2,2,0,0,0,0,0,0,0,2,4,0,0,0,0,hamij003
0,TEX201507300,2,1,0,0,1,1,0,0,0,4,4,0,0,0,0,hamij003
0,TEX201507310,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,hamij003
0,TEX201508010,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,hamij003
0,TEX201508020,1,0,0,0,1,0,0,0,0,2,4,0,0,0,0,hamij003
0,TEX201508030,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,hamij003
0,TEX201508040,2,2,0,0,0,0,0,0,0,1,4,0,0,0,0,hamij003
0,TEX201508140,1,0,0,0,1,0,0,0,1,2,3,0,0,0,0,hamij003
0,TEX201508150,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,hamij003
0,TEX201509180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hamij003
0,TEX201509200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hamij003
0,TEX201509280,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,hamij003
0,TEX201509290,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,hamij003
0,TEX201510010,1,0,1,0,0,0,0,0,1,1,3,0,0,0,0,hamij003
0,TEX201510020,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,hamij003
0,TEX201510030,2,0,0,0,2,0,0,0,0,2,4,0,0,0,0,hamij003
0,TEX201510040,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,hamij003
0,COL201507200,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,hamij003
0,COL201507210,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,hamij003
0,COL201507220,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,hamij003
0,OAK201408220,1,0,0,0,1,2,0,0,0,1,2,0,0,0,0,hamij003
0,OAK201408230,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,hamij003
0,OAK201408240,2,1,0,0,1,0,0,0,1,3,3,0,0,0,0,hamij003
0,MIN201508110,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,hamij003
0,CHA201407011,2,1,0,0,1,1,0,0,0,1,4,0,0,0,0,hamij003
0,CHA201407012,1,1,0,0,0,2,0,0,0,0,2,0,0,0,0,hamij003
0,CHA201407020,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,hamij003
0,SDN201509020,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,hamij003
0,MIN201409040,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,hamij003
0,CLE201406160,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,hamij003
0,CLE201406170,2,1,1,0,0,0,0,0,0,0,5,0,0,0,0,hamij003
0,CLE201406190,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,hamij003
0,TEX201407100,3,0,3,0,0,0,0,0,0,2,5,0,0,0,0,hamij003
0,TEX201407110,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,hamij003
0,TEX201407120,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,hamij003
0,TEX201407130,2,1,1,0,0,0,0,0,1,1,4,0,0,0,0,hamij003
0,TEX201408150,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,hamij003
0,TEX201408160,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,hamij003
