,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,SFN201904270,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,happj001
0,SFN201904280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,happj001
0,NYN201805160,2,2,0,0,0,1,0,0,0,0,3,0,0,0,0,happj001
0,SFN201605100,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,happj001
0,PHI201805270,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,happj001
0,CIN201509090,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,happj001
0,COL201509220,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,happj001
0,MIL201408190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,happj001
0,SFN201506160,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,happj001
0,MIA201508240,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,happj001
0,PHI201405050,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,happj001
0,PHI201606160,1,1,0,0,0,0,1,1,0,0,3,0,0,0,0,happj001
0,CHN201708180,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,happj001
0,COL201606280,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,happj001
0,CIN201406210,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,happj001
0,SLN201509040,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,happj001
0,PIT201508040,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,happj001
0,PIT201508190,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,happj001
0,PIT201508290,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,happj001
0,PIT201509152,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,happj001
0,PIT201509280,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,happj001
0,PIT201510040,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,happj001
0,NYN201508140,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,happj001
