,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,SFN201904080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,kinsi001
0,SFN201904090,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,kinsi001
0,SFN201904100,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,kinsi001
0,SFN201906110,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,kinsi001
0,SFN201906120,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,kinsi001
0,ATL201904290,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,kinsi001
0,ATL201904300,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,kinsi001
0,ATL201905010,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,kinsi001
0,ATL201905020,3,0,2,0,1,0,0,0,0,2,6,0,0,0,0,kinsi001
0,BAL201605120,2,2,0,0,0,1,0,0,0,0,4,0,0,0,0,kinsi001
0,BAL201605130,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,kinsi001
0,BAL201605140,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,kinsi001
0,BAL201605150,2,0,1,0,1,0,0,0,0,1,4,0,0,0,0,kinsi001
0,KCA201504300,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,kinsi001
0,KCA201505010,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,kinsi001
0,KCA201505020,2,2,0,0,0,0,0,0,0,1,4,0,0,0,0,kinsi001
0,KCA201505030,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,kinsi001
0,KCA201508100,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,kinsi001
0,KCA201508110,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,kinsi001
0,KCA201508120,2,1,1,0,0,0,0,0,0,2,5,0,0,0,0,kinsi001
0,KCA201509010,2,1,0,0,1,0,0,0,0,3,5,0,0,0,0,kinsi001
0,KCA201509020,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,kinsi001
0,KCA201509030,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,kinsi001
0,CHA201606130,2,1,0,0,1,1,0,0,1,2,5,0,0,0,0,kinsi001
0,CHA201606140,1,0,0,1,0,0,0,0,0,0,6,0,0,0,0,kinsi001
0,CHA201606150,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,kinsi001
0,CHA201607210,3,2,0,0,1,0,0,0,0,1,4,0,0,0,0,kinsi001
0,CHA201607220,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,kinsi001
0,CHA201607230,1,0,1,0,0,1,0,0,0,0,4,0,0,0,0,kinsi001
0,CHA201607240,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,kinsi001
0,CHA201609070,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,kinsi001
0,PIT201604130,1,0,0,0,1,0,0,0,1,2,4,0,0,0,0,kinsi001
0,PIT201604140,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,kinsi001
0,OAK201505250,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,kinsi001
0,OAK201505270,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,kinsi001
0,BOS201806260,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,kinsi001
0,BOS201806270,1,0,0,0,1,0,0,0,0,1,5,0,0,0,0,kinsi001
0,BOS201806280,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,kinsi001
0,BOS201807310,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,kinsi001
0,BOS201808020,3,2,1,0,0,0,0,0,0,2,6,0,0,0,0,kinsi001
0,BOS201808030,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,kinsi001
0,BOS201808170,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,kinsi001
0,BOS201808180,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,kinsi001
0,BOS201808190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,kinsi001
0,BOS201808200,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,kinsi001
0,BOS201808210,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,kinsi001
0,BOS201808220,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,kinsi001
0,BOS201808280,2,2,0,0,0,0,0,0,0,1,4,0,0,0,0,kinsi001
0,BOS201808290,2,1,1,0,0,0,0,0,0,1,4,0,0,0,0,kinsi001
0,BOS201809070,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,kinsi001
0,BOS201809080,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,kinsi001
0,BOS201809090,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,kinsi001
0,BOS201809110,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,kinsi001
0,BOS201809130,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,kinsi001
0,BOS201809140,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,kinsi001
0,BOS201809150,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,kinsi001
0,BOS201809160,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,kinsi001
0,BOS201809261,2,1,1,0,0,0,0,0,0,1,5,0,0,0,0,kinsi001
0,BOS201809280,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,kinsi001
0,BOS201809290,1,0,1,0,0,3,0,0,0,0,2,0,0,0,0,kinsi001
0,BOS201809300,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,kinsi001
0,OAK201803300,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,kinsi001
0,OAK201806150,1,0,0,0,1,1,0,0,0,2,4,0,0,0,0,kinsi001
0,OAK201806160,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,kinsi001
0,OAK201806170,2,1,1,0,0,0,0,0,0,0,6,0,0,0,0,kinsi001
0,NYN201907240,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,kinsi001
0,WAS201904260,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,kinsi001
0,WAS201904270,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,kinsi001
0,WAS201904280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,kinsi001
0,CHN201907190,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,kinsi001
0,TOR201408080,3,2,1,0,0,0,0,0,0,2,5,0,0,0,0,kinsi001
0,TOR201408090,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,kinsi001
0,TOR201408100,3,2,1,0,0,0,0,0,0,1,9,0,0,0,0,kinsi001
0,DET201403310,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,kinsi001
0,DET201404020,3,2,0,0,1,0,0,0,0,2,5,0,0,0,0,kinsi001
0,DET201404040,2,2,0,0,0,0,0,0,0,1,5,0,0,0,0,kinsi001
0,DET201404050,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,kinsi001
0,DET201404060,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,kinsi001
0,DET201404160,2,1,1,0,0,0,1,0,0,0,4,0,0,0,0,kinsi001
0,DET201404170,2,1,0,0,1,0,0,0,0,4,5,0,0,0,0,kinsi001
0,DET201404180,3,3,0,0,0,0,0,0,0,2,5,0,0,0,0,kinsi001
0,DET201404190,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,kinsi001
0,DET201404200,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,kinsi001
0,DET201404210,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,kinsi001
