,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,NYN201409100,1,0,1,0,0,0,1,0,0,0,3,0,0,0,0,matzt001
0,ARI201408080,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,matzt001
0,ARI201408300,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,matzt001
0,ARI201504270,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,matzt001
0,COL201504100,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,matzt001
0,COL201504210,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,matzt001
0,SDN201408130,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,matzt001
0,SDN201409220,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,matzt001
0,SFN201408250,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,matzt001
0,MIL201406270,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,matzt001
0,PIT201407200,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,matzt001
0,SFN201504150,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,matzt001
0,COL201406110,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,matzt001
0,COL201406220,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,matzt001
0,COL201407070,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,matzt001
0,COL201407120,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,matzt001
0,COL201407260,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,matzt001
0,COL201408190,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,matzt001
0,COL201409050,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,matzt001
0,COL201409160,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,matzt001
0,SDN201505010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,matzt001
0,WAS201407020,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,matzt001
0,LAN201406160,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,matzt001
