,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,CHA201608210,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,maxwb001
0,NYN201707210,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,maxwb001
0,NYN201707220,1,0,1,0,0,1,0,0,0,1,3,0,0,0,0,maxwb001
0,NYN201707230,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,maxwb001
0,OAK201803310,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,maxwb001
0,OAK201804040,1,0,1,0,0,1,0,0,0,1,3,0,0,0,0,maxwb001
0,OAK201804180,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,maxwb001
0,OAK201804220,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,maxwb001
0,OAK201805050,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,maxwb001
0,OAK201805070,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,maxwb001
0,OAK201805080,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,maxwb001
0,OAK201805240,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,maxwb001
0,OAK201805260,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,maxwb001
0,OAK201805290,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,maxwb001
0,OAK201805310,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,maxwb001
0,ANA201608040,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,maxwb001
0,ANA201609260,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,maxwb001
0,ANA201609280,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,maxwb001
0,SEA201804130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,maxwb001
0,SEA201804150,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,maxwb001
0,HOU201608310,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,maxwb001
0,BOS201709130,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,maxwb001
0,BOS201709140,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,maxwb001
0,SFN201708030,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,maxwb001
0,SEA201609290,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,maxwb001
0,SEA201609300,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,maxwb001
0,SEA201610010,2,1,1,0,0,0,0,0,0,0,5,0,0,0,0,maxwb001
0,SEA201610020,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,maxwb001
0,SLN201608270,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,maxwb001
