,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,MIA201807090,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,orf-n001
0,MIA201807100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,orf-n001
0,MIA201807110,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,orf-n001
0,PIT201807141,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,orf-n001
0,PIT201807142,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,orf-n001
0,PIT201807150,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,orf-n001
0,MIL201807020,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,orf-n001
0,MIL201807030,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,orf-n001
0,MIL201807040,1,0,0,0,1,0,0,0,0,1,3,0,0,0,0,orf-n001
0,MIL201807050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,orf-n001
0,MIL201807080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,orf-n001
0,MIL201807200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,orf-n001
0,MIL201807210,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,orf-n001
0,MIL201807220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,orf-n001
0,MIL201807230,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,orf-n001
