,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,KCA201505220,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,KCA201505230,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,peraj001
0,KCA201505240,2,2,0,0,0,0,0,0,0,1,5,0,0,0,0,peraj001
0,ATL201405050,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,ATL201405060,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,ATL201405070,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,peraj001
0,NYN201404210,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,peraj001
0,NYN201404220,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,peraj001
0,NYN201404230,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,PIT201606100,2,2,0,0,0,1,0,0,0,0,5,0,0,0,0,peraj001
0,PIT201606110,1,1,0,0,0,1,0,0,0,1,4,0,0,0,0,peraj001
0,PIT201606120,1,1,0,0,0,0,0,0,0,1,5,0,0,0,0,peraj001
0,PIT201609050,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,peraj001
0,PIT201609060,2,1,0,0,1,0,0,0,0,1,5,0,0,0,0,peraj001
0,PIT201609070,2,1,1,0,0,0,0,0,0,1,4,0,0,0,0,peraj001
0,TOR201406060,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,TOR201406070,1,0,1,0,0,2,0,0,0,0,3,0,0,0,0,peraj001
0,TOR201406080,2,0,1,0,1,0,0,0,0,1,4,0,0,0,0,peraj001
0,ARI201409260,3,2,1,0,0,0,0,0,0,3,5,0,0,0,0,peraj001
0,ARI201409270,1,1,0,0,0,0,0,0,1,1,3,0,0,0,0,peraj001
0,TBA201406100,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,peraj001
0,TBA201406110,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,peraj001
0,SFN201609150,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,peraj001
0,SFN201609160,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,SFN201609170,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,peraj001
0,SFN201609180,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,peraj001
0,HOU201608160,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,SEA201606240,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,SEA201606250,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,ARI201508240,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,peraj001
0,ARI201508250,2,2,0,0,0,0,0,0,1,2,4,0,0,0,0,peraj001
0,ARI201508260,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,ARI201508270,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,peraj001
0,SLN201606140,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,SLN201606150,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,SLN201606170,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,SLN201606180,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,SLN201606190,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,SLN201606290,2,2,0,0,0,0,0,0,0,1,6,0,0,0,0,peraj001
0,SLN201606300,2,1,0,0,1,0,0,0,0,1,4,0,0,0,0,peraj001
0,SLN201607010,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,SLN201607030,1,1,0,0,0,1,0,0,1,1,2,0,0,0,0,peraj001
0,SLN201607040,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,SLN201607050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,peraj001
0,SLN201607150,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,SLN201607160,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,peraj001
0,SLN201607170,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,peraj001
0,SLN201608060,2,2,0,0,0,0,0,0,0,1,4,0,0,0,0,peraj001
0,SLN201608070,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,peraj001
0,SLN201608080,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,SLN201608090,2,2,0,0,0,1,0,0,0,0,3,0,0,0,0,peraj001
0,SLN201608100,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,peraj001
0,SLN201608230,1,1,0,0,0,0,0,0,0,1,5,0,0,0,0,peraj001
0,SLN201608240,2,1,0,1,0,0,0,0,0,1,5,0,0,0,0,peraj001
0,SLN201608250,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,SLN201608260,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,peraj001
0,SLN201608270,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,peraj001
0,SLN201608280,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,SLN201609080,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,peraj001
0,SLN201609090,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,peraj001
0,SLN201609100,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,peraj001
0,SLN201609120,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,peraj001
0,SLN201609130,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,SLN201609140,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,peraj001
0,SLN201609260,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,peraj001
0,SLN201609270,3,2,0,0,1,1,0,0,0,4,4,0,0,0,0,peraj001
0,SLN201609280,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,SLN201609290,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,SLN201609300,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,peraj001
0,SLN201610010,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,SLN201610020,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,MIL201607080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,peraj001
0,MIL201607090,1,0,0,0,1,0,0,0,0,1,5,0,0,0,0,peraj001
0,MIL201607100,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,peraj001
0,MIL201608290,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,peraj001
0,MIL201608300,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,peraj001
0,MIL201608310,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,CIN201504100,2,1,1,0,0,0,0,0,0,1,4,0,0,0,0,peraj001
0,CIN201504110,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,peraj001
0,CIN201504120,2,1,0,0,1,1,0,0,0,2,4,0,0,0,0,peraj001
0,CIN201508040,2,2,0,0,0,1,0,0,0,0,3,0,0,0,0,peraj001
0,CIN201508050,1,1,0,0,0,0,0,0,0,1,6,0,0,0,0,peraj001
0,CIN201509100,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,peraj001
0,CIN201509110,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,CIN201509120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,peraj001
0,SLN201404070,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,peraj001
0,SLN201404080,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,peraj001
0,SLN201404090,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,peraj001
0,SLN201404110,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,peraj001
0,SLN201404130,2,1,1,0,0,0,0,0,0,1,4,0,0,0,0,peraj001
0,SLN201404250,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,SLN201404260,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,peraj001
0,SLN201404270,2,0,0,0,2,1,0,0,0,4,2,0,0,0,0,peraj001
0,SLN201404280,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,peraj001
0,SLN201404290,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,peraj001
0,SLN201404300,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,peraj001
0,SLN201405120,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,peraj001
0,SLN201405130,3,3,0,0,0,1,0,0,0,1,5,0,0,0,0,peraj001
0,SLN201405150,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,SLN201405160,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,peraj001
0,SLN201405170,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,peraj001
0,SLN201405180,1,0,1,0,0,0,0,0,0,1,5,0,0,0,0,peraj001
0,SLN201405200,2,0,1,0,1,0,0,0,0,2,4,0,0,0,0,peraj001
0,SLN201405210,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,peraj001
0,SLN201405220,2,1,1,0,0,1,0,0,0,0,3,0,0,0,0,peraj001
0,SLN201405260,1,1,0,0,0,0,0,0,1,1,4,0,0,0,0,peraj001
0,SLN201405270,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,peraj001
0,SLN201405280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,peraj001
0,SLN201405290,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,SLN201405300,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,peraj001
0,SLN201405310,1,0,1,0,0,0,0,0,0,1,3,0,0,0,0,peraj001
0,SLN201406010,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,SLN201406020,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,peraj001
0,SLN201406030,2,0,2,0,0,0,0,0,0,1,4,0,0,0,0,peraj001
0,SLN201406130,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,peraj001
0,SLN201406140,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,SLN201406150,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,SLN201406160,2,2,0,0,0,0,0,0,0,1,4,0,0,0,0,peraj001
0,SLN201406170,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,peraj001
0,SLN201406180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,peraj001
0,SLN201406190,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,peraj001
0,SLN201406200,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,SLN201406210,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,peraj001
0,SLN201406220,2,2,0,0,0,1,0,0,0,2,3,0,0,0,0,peraj001
0,SLN201407040,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,SLN201407050,2,1,0,0,1,0,0,0,0,1,5,0,0,0,0,peraj001
0,SLN201407070,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,peraj001
0,SLN201407080,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,SLN201407090,1,0,1,0,0,0,0,0,0,1,5,0,0,0,0,peraj001
0,SLN201407100,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,peraj001
0,SLN201407180,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,SLN201407190,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,peraj001
0,SLN201407200,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,SLN201407220,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,SLN201407230,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,peraj001
0,SLN201408010,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,peraj001
0,SLN201408020,2,1,0,0,1,0,0,0,0,1,5,0,0,0,0,peraj001
0,SLN201408030,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,peraj001
0,SLN201408050,1,1,0,0,0,2,0,0,0,0,2,0,0,0,0,peraj001
0,SLN201408060,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,peraj001
0,SLN201408070,2,1,1,0,0,0,0,0,0,2,4,0,0,0,0,peraj001
0,SLN201408140,1,0,0,0,1,0,0,0,0,2,4,0,0,0,0,peraj001
0,SLN201408150,2,2,0,0,0,0,0,0,0,1,4,0,0,0,0,peraj001
0,SLN201408160,2,0,2,0,0,0,0,0,0,1,4,0,0,0,0,peraj001
0,SLN201408170,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,peraj001
0,SLN201408180,2,1,1,0,0,0,0,0,0,1,5,0,0,0,0,peraj001
0,SLN201408190,1,0,0,0,1,1,0,0,0,1,4,0,0,0,0,peraj001
0,SLN201408200,1,1,0,0,0,0,0,0,0,2,4,0,0,0,0,peraj001
0,SLN201408290,2,2,0,0,0,0,0,0,0,1,4,0,0,0,0,peraj001
0,SLN201408301,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,peraj001
0,SLN201408302,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,peraj001
