,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,BAL201607270,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,rabur001
0,KCA201505050,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,rabur001
0,KCA201505060,1,0,1,0,0,0,0,0,0,1,3,0,0,0,0,rabur001
0,KCA201505070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rabur001
0,KCA201506030,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,rabur001
0,PIT201605200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rabur001
0,PIT201605210,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,rabur001
0,PIT201605230,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rabur001
0,NYN201706160,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,rabur001
0,TOR201405150,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,rabur001
0,DET201407180,2,0,2,0,0,0,0,0,0,1,3,0,0,0,0,rabur001
0,DET201407191,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,rabur001
0,DET201407200,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,rabur001
0,DET201409120,2,1,0,0,1,0,0,0,0,1,3,0,0,0,0,rabur001
0,DET201409130,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,rabur001
0,WAS201608260,2,1,1,0,0,0,0,0,0,0,2,0,0,0,0,rabur001
0,WAS201608270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rabur001
0,WAS201608280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rabur001
0,ARI201406240,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,rabur001
0,BOS201508180,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,rabur001
0,TBA201405100,1,0,1,0,0,0,0,0,1,1,3,0,0,0,0,rabur001
0,SFN201605060,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,rabur001
0,SFN201605070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rabur001
0,SFN201607040,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,rabur001
0,SFN201607050,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,rabur001
0,ARI201604040,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rabur001
0,ARI201604050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rabur001
0,ARI201604060,2,1,0,0,1,0,0,0,0,1,3,0,0,0,0,rabur001
0,ARI201604290,1,0,0,0,1,1,0,0,0,1,2,0,0,0,0,rabur001
0,ARI201609130,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,rabur001
0,BOS201406120,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,rabur001
0,BOS201406130,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,rabur001
0,BAL201506260,1,0,0,0,1,1,0,0,0,1,2,0,0,0,0,rabur001
0,BAL201506281,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,rabur001
