,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,SFN201904080,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,reyef001
0,SFN201904090,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,reyef001
0,SFN201904100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reyef001
0,SFN201906120,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,reyef001
0,ATL201904290,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,reyef001
0,ATL201904300,3,0,1,0,2,0,0,0,0,3,4,0,0,0,0,reyef001
0,ATL201905010,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,reyef001
0,ATL201905020,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,reyef001
0,NYN201907230,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,reyef001
0,NYN201907240,2,1,1,0,0,1,0,0,0,1,3,0,0,0,0,reyef001
0,NYN201907250,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,reyef001
0,NYN201908200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,reyef001
0,NYN201908210,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reyef001
0,WAS201904260,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,reyef001
0,WAS201904270,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,reyef001
0,WAS201904280,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,reyef001
0,WAS201909280,2,0,1,0,1,0,0,0,0,2,3,0,0,0,0,reyef001
0,WAS201909290,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,reyef001
0,CHN201907190,2,2,0,0,0,1,0,0,0,0,4,0,0,0,0,reyef001
0,CHN201907200,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,reyef001
0,COL201808210,2,1,1,0,0,0,0,0,0,0,3,0,0,0,0,reyef001
0,COL201808220,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,reyef001
0,COL201808230,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,reyef001
0,MIA201907160,1,0,0,0,1,0,0,0,0,2,1,0,0,0,0,reyef001
0,MIA201907170,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,reyef001
0,MIA201907180,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,reyef001
0,SEA201809110,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,reyef001
0,SEA201809120,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,reyef001
0,NYN201807240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reyef001
0,CIN201809060,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,reyef001
0,CIN201809070,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,reyef001
0,CIN201809080,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,reyef001
0,CIN201809090,2,2,0,0,0,1,0,0,0,0,3,0,0,0,0,reyef001
0,NYA201905270,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,reyef001
0,NYA201905280,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,reyef001
0,NYA201905290,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,reyef001
0,NYA201908150,2,2,0,0,0,0,0,0,0,0,6,0,0,0,0,reyef001
0,NYA201908160,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,reyef001
0,NYA201908170,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,reyef001
0,NYA201908180,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,reyef001
0,PHI201807200,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,reyef001
0,PHI201807221,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,reyef001
0,PHI201807222,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,reyef001
0,SDN201903280,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,reyef001
0,SDN201903290,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,reyef001
0,SDN201903300,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reyef001
0,SDN201903310,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,reyef001
0,SDN201904010,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,reyef001
0,SDN201904020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reyef001
0,SDN201904030,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,reyef001
0,SDN201904150,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,reyef001
0,SDN201904160,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,reyef001
0,SDN201904180,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,reyef001
0,SDN201904190,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,reyef001
0,SDN201904200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reyef001
0,SDN201904210,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,reyef001
0,SDN201904230,2,0,0,0,2,0,0,0,0,3,4,0,0,0,0,reyef001
0,SDN201904240,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,reyef001
0,SDN201905030,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,reyef001
0,SDN201905040,1,1,0,0,0,0,0,0,1,1,4,0,0,0,0,reyef001
0,SDN201905050,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,reyef001
0,SDN201905060,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,reyef001
0,SDN201905070,3,2,0,0,1,0,0,0,0,2,5,0,0,0,0,reyef001
0,SDN201905080,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,reyef001
0,SDN201905160,1,0,0,0,1,1,0,0,0,1,3,0,0,0,0,reyef001
0,SDN201905170,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,reyef001
0,SDN201905180,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,reyef001
0,SDN201905190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reyef001
0,SDN201905200,1,0,0,0,1,0,0,0,0,2,4,0,0,0,0,reyef001
0,SDN201905210,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,reyef001
0,SDN201905220,2,2,0,0,0,1,0,0,0,0,4,0,0,0,0,reyef001
0,SDN201905310,2,0,1,0,1,1,0,0,0,1,3,0,0,0,0,reyef001
0,SDN201906010,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,reyef001
0,SDN201906030,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,reyef001
0,SDN201906040,2,0,0,0,2,0,0,0,0,2,5,0,0,0,0,reyef001
0,SDN201906050,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,reyef001
0,SDN201906060,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,reyef001
0,SDN201906070,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,reyef001
0,SDN201906080,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,reyef001
0,SDN201906090,2,2,0,0,0,0,0,0,0,1,4,0,0,0,0,reyef001
0,SDN201906170,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,reyef001
0,SDN201906180,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,reyef001
0,SDN201906190,3,2,0,0,1,0,0,0,0,3,4,0,0,0,0,reyef001
0,SDN201906280,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,reyef001
0,SDN201906290,2,0,0,0,2,1,0,0,0,2,4,0,0,0,0,reyef001
0,SDN201906300,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,reyef001
0,SDN201907010,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,reyef001
0,SDN201907020,2,1,0,0,1,0,0,0,0,1,4,0,0,0,0,reyef001
0,SDN201907030,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,reyef001
0,SDN201907120,2,2,0,0,0,1,0,0,0,0,3,0,0,0,0,reyef001
0,SDN201907130,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,reyef001
0,SDN201907140,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,reyef001
0,SDN201907280,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,reyef001
0,SDN201907290,1,0,0,0,1,0,0,0,0,1,3,0,0,0,0,reyef001
0,SDN201907300,2,1,1,0,0,0,0,0,0,0,5,0,0,0,0,reyef001
0,BAL201906250,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,reyef001
0,BAL201906260,2,0,0,0,2,0,0,0,0,3,5,0,0,0,0,reyef001
0,MIA201806080,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,reyef001
0,MIA201806090,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,reyef001
0,SDN201805140,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,reyef001
0,SDN201805150,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,reyef001
0,SDN201805280,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,reyef001
0,SDN201805290,1,0,0,0,1,0,0,0,0,2,3,0,0,0,0,reyef001
0,SDN201805300,1,0,0,0,1,1,0,0,0,1,3,0,0,0,0,reyef001
0,SDN201805310,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,reyef001
0,SDN201806020,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,reyef001
0,SDN201806030,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,reyef001
0,SDN201806040,1,0,0,0,1,1,0,0,0,1,4,0,0,0,0,reyef001
0,SDN201806050,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,reyef001
0,SDN201806190,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,reyef001
0,SDN201806200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reyef001
0,SDN201807110,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,reyef001
0,SDN201807120,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,reyef001
0,SDN201807130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reyef001
0,SDN201807140,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,reyef001
0,SDN201807150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,reyef001
0,SDN201808100,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,reyef001
0,SDN201808110,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,reyef001
0,SDN201808120,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,reyef001
0,SDN201808130,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,reyef001
0,SDN201808140,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reyef001
0,SDN201808150,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,reyef001
0,SDN201808160,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,reyef001
0,SDN201808170,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reyef001
0,SDN201808180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reyef001
0,SDN201808190,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,reyef001
0,SDN201808280,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,reyef001
0,SDN201808290,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,reyef001
0,SDN201808300,2,1,0,0,1,0,0,0,0,1,2,0,0,0,0,reyef001
0,SDN201808310,1,0,0,0,1,0,0,0,0,1,3,0,0,0,0,reyef001
0,SDN201809010,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,reyef001
0,SDN201809020,1,1,0,0,0,0,0,0,0,2,4,0,0,0,0,reyef001
0,SDN201809140,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,reyef001
0,SDN201809150,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,reyef001
0,SDN201809160,2,2,0,0,0,1,0,0,0,0,3,0,0,0,0,reyef001
0,SDN201809170,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,reyef001
0,SDN201809180,2,1,0,0,1,0,0,0,0,3,5,0,0,0,0,reyef001
0,SDN201809190,2,2,0,0,0,1,0,0,0,0,3,0,0,0,0,reyef001
0,SDN201809280,1,1,0,0,0,2,0,0,0,0,4,0,0,0,0,reyef001
0,SDN201809290,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,reyef001
