,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,ATL201708180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,sches001
0,ATL201708190,3,1,2,0,0,1,0,0,0,1,4,0,0,0,0,sches001
0,ATL201708200,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,sches001
0,PIT201604290,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,sches001
0,PIT201604300,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,sches001
0,PIT201605010,2,0,2,0,0,0,0,0,0,2,2,0,0,0,0,sches001
0,PIT201608050,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,sches001
0,PIT201608060,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,sches001
0,PIT201608070,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,sches001
0,PIT201609080,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,sches001
0,PIT201609090,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,sches001
0,PIT201609100,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,sches001
0,PIT201609110,1,0,1,0,0,0,0,0,0,2,5,0,0,0,0,sches001
0,MIL201704240,2,0,1,0,1,0,0,0,0,4,5,0,0,0,0,sches001
0,MIL201704250,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,sches001
0,MIL201704260,2,0,0,0,2,0,0,0,0,2,4,0,0,0,0,sches001
0,MIL201709260,2,1,0,0,1,0,0,0,0,2,4,0,0,0,0,sches001
0,MIL201709270,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,sches001
0,MIL201709280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,sches001
0,NYN201709070,2,0,2,0,0,0,0,0,0,0,4,0,0,0,0,sches001
0,NYN201709080,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,sches001
0,NYN201709090,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,sches001
0,NYN201709100,1,1,0,0,0,2,0,0,0,0,3,0,0,0,0,sches001
0,NYN201904290,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,sches001
0,NYN201905010,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,sches001
0,NYN201905020,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,sches001
0,CIN201903280,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,sches001
0,CIN201903310,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,sches001
0,CIN201904010,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,sches001
0,CIN201904020,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,sches001
0,CIN201904030,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,sches001
0,CIN201904090,3,2,0,0,1,1,0,0,0,2,4,0,0,0,0,sches001
0,CIN201904100,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,sches001
0,CIN201904110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,sches001
0,CIN201904130,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,sches001
0,CIN201904140,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,sches001
0,CIN201904230,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,sches001
0,CIN201904240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,sches001
0,CIN201904250,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,sches001
0,CIN201905030,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,sches001
0,COL201805250,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,sches001
0,COL201805260,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,sches001
0,COL201805270,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,sches001
0,ANA201608290,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,sches001
0,ANA201608300,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,sches001
0,ANA201608310,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,sches001
