,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,PIT201606080,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,tailj001
0,PIT201606240,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,tailj001
0,PIT201607190,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,tailj001
0,PIT201607240,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,tailj001
0,PIT201608050,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,tailj001
0,PIT201608110,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,tailj001
0,PIT201608220,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,tailj001
0,PIT201609020,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,tailj001
0,PIT201609070,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,tailj001
0,PIT201609230,1,1,0,0,0,0,1,0,0,1,2,0,0,0,0,tailj001
0,PIT201609280,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,tailj001
0,CIN201903280,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,tailj001
0,WAS201904140,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,tailj001
0,COL201808070,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,tailj001
0,NYN201806250,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,tailj001
0,SFN201608160,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,tailj001
0,CIN201805220,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,tailj001
0,CIN201807200,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,tailj001
0,CIN201809290,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,tailj001
0,SFN201707250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,tailj001
0,MIL201607300,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,tailj001
0,MIL201608270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,tailj001
0,MIA201804140,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,tailj001
0,SDN201807010,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,tailj001
0,NYN201606140,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,tailj001
0,PIT201904030,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,tailj001
0,PIT201904200,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,tailj001
0,PIT201904250,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,tailj001
0,PIT201704110,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,tailj001
0,PIT201704220,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,tailj001
0,PIT201706120,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,tailj001
0,PIT201706180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,tailj001
0,PIT201706290,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,tailj001
0,PIT201707150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,tailj001
0,PIT201707200,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,tailj001
0,PIT201708010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,tailj001
0,PIT201708060,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,tailj001
0,PIT201708170,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,tailj001
0,PIT201708220,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,tailj001
0,PIT201709020,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,tailj001
0,PIT201709070,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,tailj001
0,PIT201709180,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,tailj001
0,PIT201709240,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,tailj001
0,PIT201804020,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,tailj001
0,PIT201804080,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,tailj001
0,PIT201804251,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,tailj001
0,PIT201805110,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,tailj001
0,PIT201805160,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,tailj001
0,PIT201805270,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,tailj001
0,PIT201806070,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,tailj001
0,PIT201806190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,tailj001
0,PIT201807070,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,tailj001
0,PIT201807120,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,tailj001
0,PIT201807310,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,tailj001
0,PIT201808190,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,tailj001
0,PIT201809050,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,tailj001
0,PIT201809180,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,tailj001
0,ARI201806130,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,tailj001
0,CHN201704160,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,tailj001
0,WAS201709300,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,tailj001
0,MIA201704280,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,tailj001
0,CIN201705030,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,tailj001
