,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,BAL201605310,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,vazqc001
0,BAL201606020,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,vazqc001
0,CHA201605040,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,vazqc001
0,MIL201705100,2,1,1,0,0,1,0,0,0,0,3,0,0,0,0,vazqc001
0,MIL201705110,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,vazqc001
0,BOS201804050,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,vazqc001
0,BOS201804080,2,2,0,0,0,0,0,0,0,1,4,0,0,0,0,vazqc001
0,BOS201804100,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,vazqc001
0,BOS201804110,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,vazqc001
0,BOS201804130,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,vazqc001
0,BOS201804150,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,vazqc001
0,BOS201804270,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,vazqc001
0,BOS201804280,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,vazqc001
0,BOS201804300,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,vazqc001
0,BOS201805010,1,1,0,0,0,0,0,0,0,1,6,0,0,0,0,vazqc001
0,BOS201805150,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,vazqc001
0,BOS201805160,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,vazqc001
0,BOS201805180,2,1,1,0,0,0,0,0,0,0,3,0,0,0,0,vazqc001
0,BOS201805200,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,vazqc001
0,BOS201805250,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,vazqc001
0,BOS201805260,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,vazqc001
0,BOS201805280,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,vazqc001
0,BOS201805300,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,vazqc001
