,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,BAL201608180,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,altuj001
0,BAL201608190,3,1,1,0,1,0,0,0,0,5,6,0,0,0,0,altuj001
0,BAL201608200,2,1,1,0,0,1,0,0,0,1,4,0,0,0,0,altuj001
0,BAL201608210,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,altuj001
0,KCA201507240,1,1,0,0,0,0,0,0,0,1,5,0,0,0,0,altuj001
0,KCA201507250,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,altuj001
0,KCA201507260,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,altuj001
0,CHA201605170,1,1,0,0,0,1,0,0,1,1,4,0,0,0,0,altuj001
0,CHA201605180,3,3,0,0,0,1,0,0,0,2,4,0,0,0,0,altuj001
0,CHA201605190,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,altuj001
0,ATL201707040,3,1,1,0,1,1,0,0,0,4,5,0,0,0,0,altuj001
0,ATL201707050,3,2,1,0,0,0,0,0,0,1,5,0,0,0,0,altuj001
0,NYN201409260,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,altuj001
0,NYN201409270,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,altuj001
0,NYN201409280,2,1,1,0,0,0,0,0,0,1,4,0,0,0,0,altuj001
0,PIT201608220,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,altuj001
0,PIT201608230,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,altuj001
0,PIT201608240,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,altuj001
0,OAK201504240,2,2,0,0,0,2,0,0,0,0,4,0,0,0,0,altuj001
0,OAK201504250,2,1,0,0,1,0,0,0,0,3,5,0,0,0,0,altuj001
0,OAK201504260,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,altuj001
0,OAK201508060,3,3,0,0,0,0,0,0,0,0,5,0,0,0,0,altuj001
0,OAK201508070,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,altuj001
0,OAK201508080,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,altuj001
0,OAK201508090,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,altuj001
0,OAK201509070,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,altuj001
0,OAK201509080,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,altuj001
0,OAK201509090,2,0,2,0,0,0,0,0,0,1,5,0,0,0,0,altuj001
0,BOS201809070,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,altuj001
0,BOS201809080,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,altuj001
0,BOS201809090,2,1,0,0,1,0,1,0,0,1,5,0,0,0,0,altuj001
0,OAK201805070,2,2,0,0,0,0,0,0,0,1,6,0,0,0,0,altuj001
0,OAK201805080,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,altuj001
0,OAK201805090,3,1,2,0,0,0,0,0,0,0,4,0,0,0,0,altuj001
0,OAK201806120,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,altuj001
0,OAK201806130,1,1,0,0,0,2,0,0,0,0,3,0,0,0,0,altuj001
0,OAK201806140,2,1,1,0,0,1,0,0,0,1,4,0,0,0,0,altuj001
0,CIN201906190,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,altuj001
0,TOR201404080,3,2,1,0,0,0,0,0,0,1,5,0,0,0,0,altuj001
0,TOR201404090,1,0,0,1,0,0,0,0,0,0,4,0,0,0,0,altuj001
0,TOR201404100,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,altuj001
0,DET201405050,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,altuj001
0,DET201405060,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,altuj001
0,DET201405070,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,altuj001
0,DET201405080,1,0,1,0,0,0,0,0,0,2,4,0,0,0,0,altuj001
0,COL201807240,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,altuj001
0,COL201807250,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,altuj001
0,ARI201406090,3,2,1,0,0,0,0,0,0,1,5,0,0,0,0,altuj001
0,ARI201406100,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,altuj001
0,BOS201507030,3,3,0,0,0,0,0,0,0,2,5,0,0,0,0,altuj001
0,BOS201507040,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,altuj001
0,BOS201507050,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,altuj001
0,TBA201406190,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,altuj001
0,TBA201406200,3,3,0,0,0,0,0,0,0,0,5,0,0,0,0,altuj001
0,TBA201406210,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,altuj001
0,TBA201406220,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,altuj001
0,ANA201605270,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,altuj001
0,ANA201605280,1,1,0,0,0,1,0,0,1,1,2,0,0,0,0,altuj001
0,ANA201605290,4,4,0,0,0,0,0,0,0,1,6,0,0,0,0,altuj001
0,ANA201606270,2,2,0,0,0,0,0,0,0,1,5,0,0,0,0,altuj001
0,ANA201606280,2,2,0,0,0,1,0,0,0,0,4,0,0,0,0,altuj001
0,ANA201606290,4,2,1,1,0,0,0,0,0,1,5,0,0,0,0,altuj001
0,ANA201609300,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,altuj001
0,ANA201610010,2,2,0,0,0,1,0,0,0,0,4,0,0,0,0,altuj001
0,ANA201610020,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,altuj001
0,SEA201804160,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,altuj001
0,SEA201804170,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,altuj001
0,SEA201804180,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,altuj001
0,SEA201804190,3,1,2,0,0,1,0,0,0,4,4,0,0,0,0,altuj001
0,SEA201808210,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,altuj001
0,SEA201808220,2,2,0,0,0,0,0,0,0,1,5,0,0,0,0,altuj001
0,OAK201904160,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,altuj001
0,OAK201904170,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,altuj001
0,OAK201908150,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,altuj001
0,OAK201908160,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,altuj001
