,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,ATL201409030,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,blana001
0,ATL201706070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,blana001
0,NYN201407280,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,blana001
0,NYN201407300,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,blana001
0,PIT201607220,2,2,0,0,0,0,0,0,0,1,2,0,0,0,0,blana001
0,PIT201607230,2,2,0,0,0,0,0,0,0,1,5,0,0,0,0,blana001
0,PIT201607240,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,blana001
0,MIL201707140,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,blana001
0,NYN201704180,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,blana001
0,NYN201704200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,blana001
0,NYN201709040,3,3,0,0,0,0,0,0,0,1,3,0,0,0,0,blana001
0,WAS201604260,3,1,1,0,1,1,0,0,0,2,4,0,0,0,0,blana001
0,WAS201604270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,blana001
0,WAS201604280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,blana001
0,WAS201606100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,blana001
0,WAS201606110,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,blana001
0,WAS201609080,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,blana001
0,WAS201609090,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,blana001
0,WAS201609100,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,blana001
0,WAS201609110,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,blana001
0,BOS201509050,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,blana001
0,SFN201606240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,blana001
0,SFN201606250,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,blana001
0,SFN201606260,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,blana001
0,BOS201706120,1,0,1,0,0,1,0,0,0,1,4,0,0,0,0,blana001
0,BOS201706130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,blana001
0,ARI201606280,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,blana001
0,ARI201606290,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,blana001
0,SFN201708170,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,blana001
0,BAL201506150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,blana001
0,ARI201508100,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,blana001
0,ARI201508110,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,blana001
0,ARI201508120,2,1,0,0,1,0,0,0,0,1,5,0,0,0,0,blana001
0,SLN201605050,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,blana001
0,MIL201604220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,blana001
0,MIL201604230,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,blana001
