,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,SFN201904300,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,buehw001
0,SFN201906090,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,buehw001
0,SFN201909270,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,buehw001
0,NYN201909150,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,buehw001
0,CIN201905180,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,buehw001
0,WAS201907280,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,buehw001
0,CHN201904240,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,buehw001
0,COL201806020,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,buehw001
0,COL201808110,1,1,0,0,0,0,1,1,0,0,2,0,0,0,0,buehw001
0,COL201809080,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,buehw001
0,MIA201908150,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,buehw001
0,PHI201807250,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,buehw001
0,PHI201907160,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,buehw001
0,SDN201908270,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,buehw001
0,MIA201805160,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,buehw001
0,SDN201805040,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,buehw001
0,LAN201903310,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,buehw001
0,LAN201904170,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,buehw001
0,LAN201905060,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,buehw001
0,LAN201905110,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,buehw001
0,LAN201905290,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,buehw001
0,LAN201906150,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,buehw001
0,LAN201906210,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,buehw001
0,LAN201907030,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,buehw001
0,LAN201907210,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,buehw001
0,LAN201908030,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,buehw001
0,LAN201908090,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,buehw001
0,LAN201908210,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,buehw001
0,LAN201909020,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,buehw001
0,LAN201909210,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,buehw001
0,PIT201905240,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,buehw001
0,LAN201804230,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,buehw001
0,LAN201805100,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,buehw001
0,LAN201805210,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,buehw001
0,LAN201805270,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,buehw001
0,LAN201806080,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,buehw001
0,LAN201806280,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,buehw001
0,LAN201807130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,buehw001
0,LAN201807310,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,buehw001
0,LAN201808050,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,buehw001
0,LAN201808220,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,buehw001
0,LAN201809020,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,buehw001
0,LAN201809190,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,buehw001
0,LAN201810010,1,1,0,0,0,1,0,0,0,1,2,0,0,0,0,buehw001
0,ARI201809250,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,buehw001
0,COL201904060,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,buehw001
0,COL201906270,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,buehw001
0,SLN201904110,1,0,0,0,1,0,0,0,0,1,2,0,0,0,0,buehw001
0,SFN201804281,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,buehw001
0,SLN201809140,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,buehw001
0,ARI201906030,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,buehw001
