,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,BAL201608040,2,1,1,0,0,0,0,0,0,0,5,0,0,0,0,choos001
0,KCA201506050,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,choos001
0,KCA201506060,2,1,1,0,0,0,0,0,0,2,5,0,0,0,0,choos001
0,KCA201506070,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,choos001
0,ATL201709040,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,choos001
0,ATL201709061,1,0,1,0,0,0,0,0,0,1,5,0,0,0,0,choos001
0,ATL201709062,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,choos001
0,NYN201407040,1,0,0,0,1,2,0,0,0,1,3,0,0,0,0,choos001
0,NYN201407050,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,choos001
0,NYN201407060,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,choos001
0,OAK201504060,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,choos001
0,OAK201504070,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,choos001
0,OAK201504090,2,1,0,0,1,0,0,0,0,3,5,0,0,0,0,choos001
0,OAK201506090,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,choos001
0,OAK201506100,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,choos001
0,OAK201506110,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,choos001
0,OAK201509220,0,0,0,0,0,0,1,1,1,1,3,0,0,0,0,choos001
0,OAK201509230,1,1,0,0,0,2,0,0,0,1,3,0,0,0,0,choos001
0,OAK201509240,1,0,1,0,0,1,0,0,0,1,4,0,0,0,0,choos001
0,BOS201807100,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,choos001
0,NYN201708080,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,choos001
0,NYN201708090,2,1,1,0,0,3,0,0,0,0,3,0,0,0,0,choos001
0,OAK201804020,2,2,0,0,0,1,0,0,0,0,4,0,0,0,0,choos001
0,OAK201804030,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,choos001
0,OAK201804040,1,0,0,0,1,0,0,0,0,1,3,0,0,0,0,choos001
0,OAK201804050,1,0,0,0,1,0,0,0,0,2,5,0,0,0,0,choos001
0,OAK201808200,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,choos001
