,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,TOR201809030,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,ciufn001
0,TOR201809040,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ciufn001
0,TOR201809050,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,ciufn001
0,TOR201809200,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,ciufn001
0,TOR201809210,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,ciufn001
0,TBA201809070,2,1,0,0,1,1,0,0,1,4,2,0,0,0,0,ciufn001
0,TBA201809080,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,ciufn001
0,TBA201809100,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,ciufn001
0,TBA201809110,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,ciufn001
0,TBA201809140,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,ciufn001
0,TBA201809150,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,ciufn001
0,TBA201809240,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,ciufn001
0,TBA201809260,1,1,0,0,0,0,2,0,0,1,4,0,0,0,0,ciufn001
0,TBA201809300,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,ciufn001
0,TEX201809170,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,ciufn001
0,TEX201809190,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,ciufn001
0,TBA201904200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ciufn001
0,TBA201905080,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,ciufn001
0,TBA201905100,1,1,0,0,0,0,1,0,0,0,3,0,0,0,0,ciufn001
