,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,CHN201909020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,courr001
0,CHN201909030,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,courr001
0,SEA201907260,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,courr001
0,SEA201907270,2,1,1,0,0,0,0,0,0,3,5,0,0,0,0,courr001
0,SEA201907280,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,courr001
0,SEA201908090,2,1,0,0,1,0,0,0,0,2,4,0,0,0,0,courr001
0,TEX201907310,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,courr001
0,HOU201908030,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,courr001
0,HOU201909050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,courr001
0,HOU201909080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,courr001
