,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,SFN201904050,1,0,1,0,0,0,0,0,0,1,5,0,0,0,0,duggs001
0,SFN201904060,1,0,1,0,0,0,0,0,1,3,3,0,0,0,0,duggs001
0,SFN201904070,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,duggs001
0,SFN201904080,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,duggs001
0,SFN201904100,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,duggs001
0,SFN201904110,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,duggs001
0,SFN201904120,2,2,0,0,0,1,0,0,0,0,6,0,0,0,0,duggs001
0,SFN201904130,2,2,0,0,0,0,0,0,1,1,4,0,0,0,0,duggs001
0,SFN201904140,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,duggs001
0,SFN201904260,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,duggs001
0,SFN201904290,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,duggs001
0,SFN201904300,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,duggs001
0,SFN201905010,3,3,0,0,0,0,0,0,0,0,4,0,0,0,0,duggs001
0,SFN201905100,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,duggs001
0,SFN201905110,3,2,0,1,0,0,0,0,0,2,4,0,0,0,0,duggs001
0,SFN201905120,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,duggs001
0,SFN201905140,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,duggs001
0,SFN201905150,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,duggs001
0,SFN201905200,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,duggs001
0,SFN201905210,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,duggs001
0,SFN201905220,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,duggs001
0,SFN201905230,1,1,0,0,0,1,0,0,0,1,5,0,0,0,0,duggs001
0,SFN201905240,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,duggs001
0,SFN201905250,2,1,1,0,0,0,1,0,0,0,3,0,0,0,0,duggs001
0,SFN201905260,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,duggs001
0,SFN201906070,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,duggs001
0,SFN201906090,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,duggs001
0,SFN201906110,1,0,0,0,1,0,0,0,0,2,4,0,0,0,0,duggs001
0,SFN201906120,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,duggs001
0,SFN201906140,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,duggs001
0,SFN201906150,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,duggs001
0,SFN201906160,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,duggs001
0,SFN201908050,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,duggs001
