,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,ATL201908010,1,0,0,0,1,0,0,0,0,1,3,0,0,0,0,duvaa001
0,ATL201908020,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,duvaa001
0,ATL201908030,1,0,1,0,0,1,0,0,0,1,4,0,0,0,0,duvaa001
0,ATL201908040,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,duvaa001
0,ATL201908130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,duvaa001
0,ATL201908140,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,duvaa001
0,ATL201908150,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,duvaa001
0,ATL201908170,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,duvaa001
0,ATL201908180,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,duvaa001
0,ATL201908210,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,duvaa001
0,ATL201908220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,duvaa001
0,ATL201909060,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,duvaa001
0,ATL201909080,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,duvaa001
0,ATL201909170,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,duvaa001
0,ATL201909180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,duvaa001
0,ATL201909190,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,duvaa001
0,ATL201909210,1,0,0,0,1,0,0,0,0,2,4,0,0,0,0,duvaa001
0,ATL201909220,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,duvaa001
0,ATL201708180,1,0,0,0,1,0,0,0,0,2,5,0,0,0,0,duvaa001
0,ATL201708190,2,1,1,0,0,1,0,0,0,0,4,0,0,0,0,duvaa001
0,ATL201708200,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,duvaa001
0,PIT201604300,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,duvaa001
0,PIT201605010,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,duvaa001
0,PIT201608050,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,duvaa001
0,PIT201608060,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,duvaa001
0,PIT201608070,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,duvaa001
0,PIT201609080,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,duvaa001
0,PIT201609090,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,duvaa001
