,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,ATL201408110,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,ellia001
0,ATL201408120,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,ellia001
0,ATL201408130,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,ellia001
0,ATL201706180,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,ellia001
0,ATL201708060,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,ellia001
0,ATL201709070,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,ellia001
0,ATL201709090,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,ellia001
0,NYN201405200,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,ellia001
0,NYN201405210,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,ellia001
0,NYN201405220,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,ellia001
0,PIT201606250,2,1,1,0,0,0,0,0,0,1,3,0,0,0,0,ellia001
0,PIT201606270,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,ellia001
0,OAK201508180,1,0,0,0,1,4,0,0,0,3,1,0,0,0,0,ellia001
0,NYN201704070,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,ellia001
0,NYN201705070,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,ellia001
0,OAK201807040,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,ellia001
0,DET201407080,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,ellia001
0,DET201407090,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,ellia001
0,WAS201607210,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,ellia001
0,WAS201609110,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,ellia001
0,COL201804110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,ellia001
0,COL201804230,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,ellia001
0,COL201808230,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,ellia001
0,ARI201403220,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,ellia001
0,ARI201403230,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,ellia001
