,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,BAL201606060,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
0,BAL201606070,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,escoa003
0,BAL201606080,1,1,0,0,0,0,1,0,0,0,4,0,0,0,0,escoa003
0,KCA201504060,2,1,1,0,0,1,0,0,0,0,4,0,0,0,0,escoa003
0,KCA201504080,3,3,0,0,0,0,0,0,0,0,5,0,0,0,0,escoa003
0,KCA201504090,1,0,1,0,0,0,1,1,0,0,3,0,0,0,0,escoa003
0,KCA201504170,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
0,KCA201504200,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
0,KCA201504210,1,1,0,0,0,0,1,1,0,0,4,0,0,0,0,escoa003
0,KCA201504220,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
0,KCA201505150,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,escoa003
0,KCA201505160,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
0,KCA201505170,1,1,0,0,0,0,0,0,1,1,3,0,0,0,0,escoa003
0,KCA201505190,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,escoa003
0,KCA201505200,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
0,KCA201505220,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,escoa003
0,KCA201505230,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,escoa003
0,KCA201505240,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
0,KCA201506020,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
0,KCA201506030,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
0,KCA201506040,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,escoa003
0,KCA201506050,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
0,KCA201506060,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,escoa003
0,KCA201506070,2,2,0,0,0,0,0,0,1,1,3,0,0,0,0,escoa003
0,KCA201506170,2,1,0,1,0,0,0,0,0,4,5,0,0,0,0,escoa003
0,KCA201506180,3,2,1,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
0,KCA201506190,1,0,1,0,0,1,0,0,0,1,3,0,0,0,0,escoa003
0,KCA201506200,2,2,0,0,0,0,0,0,0,1,4,0,0,0,0,escoa003
0,KCA201506210,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,escoa003
0,KCA201507020,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
0,KCA201507030,1,1,0,0,0,2,1,1,0,0,2,0,0,0,0,escoa003
0,KCA201507040,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,escoa003
0,KCA201507050,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
0,KCA201507071,2,1,1,0,0,1,1,0,0,0,4,0,0,0,0,escoa003
0,KCA201507072,2,1,1,0,0,1,0,0,0,3,4,0,0,0,0,escoa003
0,KCA201507080,4,4,0,0,0,0,0,0,0,0,5,0,0,0,0,escoa003
0,KCA201507090,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,escoa003
0,KCA201507100,2,2,0,0,0,0,1,0,0,1,4,0,0,0,0,escoa003
0,KCA201507110,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
0,KCA201507120,1,1,0,0,0,0,0,0,0,1,5,0,0,0,0,escoa003
0,KCA201507200,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,escoa003
0,KCA201507210,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,escoa003
0,KCA201507220,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
0,KCA201507240,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
0,KCA201507250,2,2,0,0,0,0,0,0,0,1,5,0,0,0,0,escoa003
0,KCA201507260,1,1,0,0,0,0,1,0,0,0,4,0,0,0,0,escoa003
0,KCA201508070,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
0,KCA201508080,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,escoa003
0,KCA201508090,1,1,0,0,0,1,1,1,0,0,3,0,0,0,0,escoa003
0,KCA201508100,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
0,KCA201508110,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
0,KCA201508120,1,0,0,1,0,0,0,0,0,1,5,0,0,0,0,escoa003
0,KCA201508130,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,escoa003
0,KCA201508140,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,escoa003
0,KCA201508150,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,escoa003
0,KCA201508160,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,escoa003
0,KCA201508240,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,escoa003
0,KCA201508250,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,escoa003
0,KCA201508260,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,escoa003
0,KCA201508270,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
0,KCA201509010,1,1,0,0,0,0,0,0,0,1,5,0,0,0,0,escoa003
0,KCA201509020,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,escoa003
0,KCA201509040,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
0,KCA201509050,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
0,KCA201509060,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,escoa003
0,KCA201509070,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,escoa003
0,KCA201509080,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,escoa003
0,KCA201509090,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,escoa003
0,KCA201509220,3,3,0,0,0,0,0,0,0,1,4,0,0,0,0,escoa003
0,KCA201509230,1,0,1,0,0,2,0,0,0,0,3,0,0,0,0,escoa003
0,KCA201509240,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,escoa003
0,KCA201509260,2,1,0,1,0,0,0,0,0,1,4,0,0,0,0,escoa003
0,KCA201509270,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
0,CHA201605200,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,escoa003
0,CHA201605210,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
0,CHA201605220,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
0,CHA201606100,1,1,0,0,0,0,0,0,0,1,5,0,0,0,0,escoa003
0,CHA201606110,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
0,CHA201606120,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,escoa003
0,CHA201609090,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
0,CHA201609100,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,escoa003
0,CHA201609110,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,escoa003
0,OAK201506260,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,escoa003
0,OAK201506270,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,escoa003
0,OAK201506280,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
0,BOS201804300,3,1,2,0,0,0,0,0,0,1,4,0,0,0,0,escoa003
0,BOS201805010,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,escoa003
0,BOS201805020,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
0,OAK201806070,1,0,0,0,1,0,0,0,0,1,3,0,0,0,0,escoa003
0,OAK201806080,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
0,OAK201806090,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,escoa003
0,OAK201806100,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,escoa003
0,TOR201405290,3,3,0,0,0,0,1,0,0,0,5,0,0,0,0,escoa003
0,TOR201405300,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
0,TOR201405310,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,escoa003
0,TOR201406010,2,1,1,0,0,0,0,0,0,0,3,0,0,0,0,escoa003
0,DET201403310,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,escoa003
0,DET201404020,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
0,DET201406160,2,1,1,0,0,0,0,0,0,1,5,0,0,0,0,escoa003
0,DET201406170,3,3,0,0,0,0,0,0,0,0,5,0,0,0,0,escoa003
0,DET201406180,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,escoa003
0,DET201406190,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,escoa003
0,DET201409080,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,escoa003
0,DET201409090,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
0,DET201409100,1,1,0,0,0,0,0,0,1,1,3,0,0,0,0,escoa003
0,ARI201408050,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,escoa003
0,ARI201408060,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
0,ARI201408070,2,2,0,0,0,0,0,0,0,1,4,0,0,0,0,escoa003
0,BOS201508200,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
0,BOS201508210,1,0,0,0,1,1,0,0,0,1,3,0,0,0,0,escoa003
0,BOS201508220,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,escoa003
0,BOS201508230,2,2,0,0,0,0,1,1,1,1,3,0,0,0,0,escoa003
0,TBA201407070,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
0,TBA201407080,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
0,TBA201407090,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
0,ANA201604250,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,escoa003
0,ANA201604260,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,escoa003
0,ANA201604270,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,escoa003
0,SEA201806290,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,escoa003
0,SEA201806300,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
0,SEA201807010,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,escoa003
0,HOU201604110,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,escoa003
0,HOU201604120,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,escoa003
