,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,NYN201708080,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,flexc001
0,NYN201708180,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,flexc001
0,NYN201708230,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,flexc001
0,NYN201709251,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,flexc001
0,SDN201707270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,flexc001
0,CIN201708290,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,flexc001
0,SLN201904200,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,flexc001
0,COL201708020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,flexc001
0,PHI201708130,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,flexc001
0,PHI201710010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,flexc001
