,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,CIN201805060,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,flord002
0,CIN201805230,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,flord002
0,CIN201806070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,flord002
0,CIN201806300,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,flord002
0,LAN201906190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,flord002
0,LAN201908200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,flord002
0,CHN201705210,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,flord002
0,CHN201707090,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,flord002
0,COL201705091,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,flord002
0,SLN201804200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,flord002
