,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,SFN201904130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,freek001
0,SFN201909260,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,freek001
0,ATL201708260,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,freek001
0,NYN201707150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,freek001
0,WAS201907242,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,freek001
0,COL201804080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,freek001
0,COL201804240,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,freek001
0,COL201805120,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,freek001
0,COL201805290,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,freek001
0,COL201806100,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,freek001
0,COL201806210,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,freek001
0,COL201807020,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,freek001
0,COL201807120,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,freek001
0,COL201807270,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,freek001
0,COL201808060,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,freek001
0,COL201808110,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,freek001
0,COL201808230,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,freek001
0,COL201809080,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,freek001
0,COL201809130,2,1,1,0,0,0,1,0,0,1,3,0,0,0,0,freek001
0,COL201809280,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,freek001
0,MIA201903280,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,freek001
0,NYN201805060,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,freek001
0,CIN201806050,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,freek001
0,SFN201706260,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,freek001
0,SFN201706280,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,freek001
0,PHI201905190,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,freek001
0,SDN201908090,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,freek001
0,LAN201704180,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,freek001
0,LAN201706230,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,freek001
0,SDN201705040,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,freek001
0,SDN201804030,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,freek001
0,SDN201809020,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,freek001
0,ARI201704280,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,freek001
0,ARI201709110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,freek001
0,LAN201805230,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,freek001
0,LAN201809180,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,freek001
0,PIT201706120,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,freek001
0,PIT201804180,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,freek001
0,ARI201807210,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,freek001
0,ARI201809230,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,freek001
0,WAS201707301,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,freek001
0,CIN201705210,2,0,1,0,1,1,0,0,0,1,2,0,0,0,0,freek001
0,COL201904080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,freek001
0,COL201904180,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,freek001
0,COL201905040,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,freek001
0,COL201905090,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,freek001
0,COL201905250,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,freek001
0,COL201905300,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,freek001
0,COL201907130,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,freek001
0,COL201907300,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,freek001
0,COL201908040,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,freek001
0,COL201908140,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,freek001
0,ATL201808170,1,1,0,0,0,0,2,0,0,0,3,0,0,0,0,freek001
0,MIL201904290,1,1,0,0,0,0,2,1,0,0,1,0,0,0,0,freek001
0,SLN201707260,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,freek001
0,SFN201805180,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,freek001
0,SFN201806270,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,freek001
0,COL201704070,1,1,0,0,0,0,1,0,0,0,2,0,0,0,0,freek001
0,COL201704120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,freek001
0,COL201704230,1,1,0,0,0,0,1,1,0,0,2,0,0,0,0,freek001
0,COL201705092,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,freek001
0,COL201705270,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,freek001
0,COL201706070,1,1,0,0,0,0,1,0,0,0,3,0,0,0,0,freek001
0,COL201706170,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,freek001
0,COL201707040,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,freek001
0,COL201707090,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,freek001
0,COL201707230,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,freek001
0,COL201708150,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,freek001
0,COL201708200,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,freek001
0,COL201709010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,freek001
0,COL201709060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,freek001
0,COL201709160,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,freek001
0,SLN201808010,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,freek001
0,CHN201804300,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,freek001
0,WAS201804130,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,freek001
0,ARI201908200,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,freek001
