,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,SFN201905240,4,3,0,0,1,0,0,0,0,3,5,0,0,0,0,jonea003
0,SFN201905250,2,1,1,0,0,0,0,0,1,1,2,0,0,0,0,jonea003
0,SFN201905260,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,jonea003
0,SFN201906270,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,jonea003
0,SFN201906280,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,jonea003
0,SFN201906290,2,2,0,0,0,2,0,0,0,1,3,0,0,0,0,jonea003
0,SFN201906300,2,2,0,0,0,0,0,0,0,1,5,0,0,0,0,jonea003
0,SFN201908260,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,jonea003
0,SFN201908270,2,2,0,0,0,1,0,0,0,1,3,0,0,0,0,jonea003
0,ATL201904160,1,0,1,0,0,0,0,0,0,2,5,0,0,0,0,jonea003
0,ATL201904170,1,0,0,0,1,1,0,0,0,2,4,0,0,0,0,jonea003
0,ATL201904180,1,1,0,0,0,2,0,0,0,1,3,0,0,0,0,jonea003
0,BAL201604040,1,0,1,0,0,0,0,0,0,2,5,0,0,0,0,jonea003
0,BAL201604060,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,jonea003
0,BAL201604190,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,jonea003
0,BAL201604200,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,jonea003
0,BAL201604210,1,0,1,0,0,1,0,0,0,0,4,0,0,0,0,jonea003
0,BAL201604280,2,1,1,0,0,0,0,0,0,1,4,0,0,0,0,jonea003
0,BAL201604290,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,jonea003
0,BAL201604300,2,1,1,0,0,0,0,0,0,1,4,0,0,0,0,jonea003
