,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,SFN201908080,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,kings001
0,SFN201908090,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,kings001
0,SFN201908100,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,kings001
0,SFN201908110,2,0,2,0,0,1,0,0,0,0,4,0,0,0,0,kings001
0,ATL201906140,3,1,1,0,1,0,0,0,0,1,4,0,0,0,0,kings001
0,ATL201906150,3,2,1,0,0,1,0,0,0,2,3,0,0,0,0,kings001
0,ATL201906160,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,kings001
0,ATL201907020,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,kings001
0,ATL201907030,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,kings001
0,ATL201907040,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,kings001
0,ATL201909170,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,kings001
0,ATL201909180,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,kings001
0,ATL201909190,1,0,0,1,0,0,0,0,1,1,3,0,0,0,0,kings001
0,BOS201807300,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,kings001
0,BOS201807310,0,0,0,0,0,1,0,0,1,1,2,0,0,0,0,kings001
0,NYN201907050,1,0,0,0,1,1,0,0,0,1,4,0,0,0,0,kings001
0,NYN201907060,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,kings001
0,NYN201907070,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,kings001
0,NYN201909060,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,kings001
0,NYN201909070,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,kings001
0,NYN201909080,1,0,0,0,1,0,1,1,0,2,4,0,0,0,0,kings001
0,CIN201909020,1,0,0,0,1,0,0,0,0,2,4,0,0,0,0,kings001
0,CIN201909030,1,0,0,0,1,1,0,0,0,1,3,0,0,0,0,kings001
0,CIN201909040,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,kings001
0,CIN201909050,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,kings001
0,WAS201904020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,kings001
0,WAS201904030,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,kings001
0,WAS201906191,2,1,0,0,1,0,0,0,0,1,4,0,0,0,0,kings001
0,WAS201906192,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,kings001
0,WAS201906200,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,kings001
0,WAS201909230,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,kings001
0,WAS201909241,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,kings001
0,WAS201909242,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,kings001
0,WAS201909250,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,kings001
0,CHN201905200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,kings001
0,CHN201905210,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,kings001
0,CHN201905220,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,kings001
0,CHN201905230,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,kings001
0,COL201809240,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,kings001
0,COL201809250,2,0,2,0,0,0,0,0,0,1,4,0,0,0,0,kings001
0,COL201809260,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,kings001
0,COL201809270,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,kings001
0,MIA201904130,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,kings001
0,MIA201904140,3,2,1,0,0,0,0,0,0,0,6,0,0,0,0,kings001
0,MIA201906280,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,kings001
0,MIA201906290,1,0,1,0,0,1,0,0,0,2,4,0,0,0,0,kings001
0,MIA201906300,1,0,1,0,0,1,0,0,0,0,5,0,0,0,0,kings001
0,MIA201908230,1,0,0,1,0,2,0,0,0,3,3,0,0,0,0,kings001
0,MIA201908240,2,0,1,0,1,1,0,0,0,3,4,0,0,0,0,kings001
0,MIA201908250,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,kings001
0,NYN201804030,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,kings001
0,NYN201804040,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,kings001
0,NYN201807091,1,1,0,0,0,1,1,0,0,0,4,0,0,0,0,kings001
0,NYN201807092,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,kings001
0,NYN201807100,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,kings001
0,NYN201807110,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,kings001
0,NYN201809070,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,kings001
