,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,BAL201607220,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,kipnj001
0,BAL201607230,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,kipnj001
0,BAL201607240,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,kipnj001
0,KCA201505050,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,kipnj001
0,KCA201505060,2,1,1,0,0,1,0,0,0,1,4,0,0,0,0,kipnj001
0,KCA201505070,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,kipnj001
0,KCA201506020,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,kipnj001
0,KCA201506030,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,kipnj001
0,KCA201506040,1,1,0,0,0,1,0,0,0,1,4,0,0,0,0,kipnj001
0,KCA201509250,2,1,1,0,0,0,0,0,0,0,5,0,0,0,0,kipnj001
0,KCA201509260,2,2,0,0,0,0,0,0,0,1,5,0,0,0,0,kipnj001
0,KCA201509270,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,kipnj001
0,CHA201604080,1,1,0,0,0,0,0,0,1,1,4,0,0,0,0,kipnj001
0,CHA201604090,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,kipnj001
0,CHA201605231,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,kipnj001
0,CHA201605232,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,kipnj001
0,CHA201605250,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,kipnj001
0,CHA201609120,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,kipnj001
0,CHA201609130,2,0,2,0,0,0,0,0,0,0,4,0,0,0,0,kipnj001
0,CHA201609140,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,kipnj001
0,CHA201609150,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,kipnj001
0,OAK201507300,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,kipnj001
0,OAK201507310,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,kipnj001
0,OAK201508010,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,kipnj001
0,BOS201808200,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,kipnj001
0,BOS201808210,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,kipnj001
0,BOS201808230,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,kipnj001
0,OAK201806290,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,kipnj001
0,OAK201806300,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,kipnj001
0,OAK201807010,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,kipnj001
0,NYN201908200,2,1,0,0,1,0,0,0,0,2,4,0,0,0,0,kipnj001
0,NYN201908210,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,kipnj001
0,NYN201908220,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,kipnj001
0,CIN201907060,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,kipnj001
0,CIN201907070,2,1,0,0,1,1,1,1,0,2,3,0,0,0,0,kipnj001
0,DET201404160,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,kipnj001
0,DET201404170,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,kipnj001
0,DET201407180,2,0,0,0,2,0,0,0,0,4,5,0,0,0,0,kipnj001
0,DET201407191,2,2,0,0,0,0,0,0,0,2,5,0,0,0,0,kipnj001
0,DET201407192,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,kipnj001
0,DET201407200,1,1,0,0,0,1,1,0,0,0,3,0,0,0,0,kipnj001
0,DET201409120,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,kipnj001
0,DET201409130,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,kipnj001
0,DET201409140,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,kipnj001
0,WAS201608090,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,kipnj001
0,WAS201608100,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,kipnj001
0,ARI201406240,3,2,0,1,0,0,0,0,0,0,7,0,0,0,0,kipnj001
0,ARI201406250,2,0,2,0,0,0,0,0,0,1,5,0,0,0,0,kipnj001
0,MIA201904300,1,1,0,0,0,1,1,0,0,0,3,0,0,0,0,kipnj001
