,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,ATL201405020,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,linct001
0,ARI201404030,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,linct001
0,ARI201406200,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,linct001
0,CIN201505140,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,linct001
0,SDN201404200,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,linct001
0,SDN201407060,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,linct001
0,SFN201404090,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,linct001
0,SFN201404150,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,linct001
0,SFN201404260,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,linct001
0,SFN201405120,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,linct001
0,SFN201405170,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,linct001
0,SFN201405230,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,linct001
0,SFN201405280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,linct001
0,SFN201406080,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,linct001
0,SFN201406130,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,linct001
0,SFN201406250,2,2,0,0,0,1,0,0,0,0,3,0,0,0,0,linct001
0,SFN201407010,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,linct001
0,SFN201407110,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,linct001
0,SFN201407250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,linct001
0,SFN201407300,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,linct001
0,SFN201408170,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,linct001
0,SFN201409130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,linct001
0,MIL201408050,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,linct001
0,PIT201405070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,linct001
0,LAN201504270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,linct001
0,SFN201504150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,linct001
0,SFN201504210,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,linct001
0,SFN201505030,2,2,0,0,0,1,0,0,0,0,2,0,0,0,0,linct001
0,SFN201505080,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,linct001
0,SFN201505200,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,linct001
0,SFN201505300,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,linct001
0,SFN201506160,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,linct001
0,SDN201504100,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,linct001
0,WAS201408230,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,linct001
0,CIN201406030,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,linct001
0,MIA201407200,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,linct001
0,MIL201505250,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,linct001
0,PHI201506050,1,0,1,0,0,0,1,0,0,0,3,0,0,0,0,linct001
0,NYN201506110,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,linct001
