,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,ATL201706080,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,liveb001
0,ATL201709220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,liveb001
0,NYN201706300,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,liveb001
0,NYN201709050,2,1,0,0,1,0,0,0,0,4,4,0,0,0,0,liveb001
0,NYN201804030,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,liveb001
0,PHI201804090,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,liveb001
0,PHI201804200,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,liveb001
0,SFN201708200,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,liveb001
0,ARI201706240,1,0,0,0,1,0,0,0,0,2,2,0,0,0,0,liveb001
0,WAS201709100,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,liveb001
0,MIA201708310,1,1,0,0,0,0,0,0,0,2,3,0,0,0,0,liveb001
0,ATL201804170,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,liveb001
0,PHI201706030,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,liveb001
0,PHI201706180,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,liveb001
0,PHI201707050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,liveb001
0,PHI201708260,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,liveb001
0,PHI201709290,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,liveb001
