,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,CHA201605070,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,mastd002
0,CHA201605080,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,mastd002
0,TOR201406280,1,0,0,0,1,0,0,0,0,2,3,0,0,0,0,mastd002
0,TOR201406290,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,mastd002
0,TOR201407020,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,mastd002
0,TOR201407210,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,mastd002
0,TBA201407110,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,mastd002
0,TBA201407120,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,mastd002
0,TBA201407130,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,mastd002
0,OAK201407040,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,mastd002
0,OAK201407060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mastd002
0,MIN201404100,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,mastd002
0,MIN201404110,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,mastd002
0,MIN201404120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mastd002
0,MIN201404130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mastd002
0,ANA201407070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mastd002
0,ANA201407080,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,mastd002
0,ANA201407090,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,mastd002
0,KCA201404180,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,mastd002
0,BAL201406120,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,mastd002
0,MIN201605210,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,mastd002
0,DET201605180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,mastd002
