,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,SFN201907060,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,moliy001
0,ATL201905140,2,0,1,0,1,0,0,0,0,3,4,0,0,0,0,moliy001
0,ATL201905150,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,moliy001
0,ATL201905160,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,moliy001
0,KCA201505220,2,2,0,0,0,1,0,0,0,0,3,0,0,0,0,moliy001
0,KCA201505230,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,moliy001
0,KCA201505240,1,1,0,0,0,0,0,0,0,2,4,0,0,0,0,moliy001
0,ATL201405050,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,moliy001
0,ATL201405060,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,moliy001
0,ATL201405070,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,moliy001
0,ATL201705050,1,1,0,0,0,0,1,1,0,0,4,0,0,0,0,moliy001
0,ATL201705070,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,moliy001
0,NYN201404210,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,moliy001
0,NYN201404220,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,moliy001
0,NYN201404230,3,1,2,0,0,1,0,0,0,1,3,0,0,0,0,moliy001
0,PIT201604030,2,2,0,0,0,1,0,0,0,0,3,0,0,0,0,moliy001
0,PIT201604050,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,moliy001
0,PIT201604060,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,moliy001
0,PIT201606100,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,moliy001
0,PIT201606110,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,moliy001
0,PIT201606120,3,3,0,0,0,0,0,0,0,1,4,0,0,0,0,moliy001
0,PIT201609050,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,moliy001
0,PIT201609060,4,1,2,0,1,0,0,0,0,4,5,0,0,0,0,moliy001
0,PIT201609070,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,moliy001
0,MIL201704200,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,moliy001
0,MIL201704210,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,moliy001
0,MIL201704220,3,2,1,0,0,0,0,0,0,0,5,0,0,0,0,moliy001
0,MIL201708010,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,moliy001
