,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,BAL201608020,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,morem001
0,BAL201608030,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,morem001
0,BAL201608040,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,morem001
0,KCA201506050,2,1,0,0,1,1,0,0,0,1,3,0,0,0,0,morem001
0,KCA201506060,2,2,0,0,0,1,0,0,0,1,4,0,0,0,0,morem001
0,KCA201506070,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,morem001
0,CHA201604220,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,morem001
0,CHA201604230,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,morem001
0,CHA201604240,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,morem001
0,OAK201504060,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,morem001
0,OAK201504070,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,morem001
0,OAK201504090,1,0,0,0,1,1,0,0,1,3,3,0,0,0,0,morem001
0,OAK201506090,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,morem001
0,OAK201506100,2,2,0,0,0,0,0,0,0,2,5,0,0,0,0,morem001
0,OAK201509220,3,2,0,0,1,1,0,0,0,2,4,0,0,0,0,morem001
0,OAK201509230,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,morem001
0,OAK201509240,1,0,1,0,0,2,0,0,0,0,3,0,0,0,0,morem001
0,MIL201705090,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,morem001
0,MIL201705100,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,morem001
0,MIL201705110,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,morem001
0,BOS201804080,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,morem001
0,BOS201804110,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,morem001
0,BOS201804120,2,2,0,0,0,0,0,0,0,1,3,0,0,0,0,morem001
0,BOS201804130,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,morem001
0,BOS201804150,3,1,2,0,0,0,0,0,0,0,4,0,0,0,0,morem001
0,BOS201804270,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,morem001
0,BOS201804290,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,morem001
0,BOS201804300,3,1,1,0,1,1,0,0,0,2,4,0,0,0,0,morem001
0,BOS201805010,3,2,0,0,1,0,0,0,0,1,6,0,0,0,0,morem001
0,BOS201805140,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,morem001
0,BOS201805150,2,0,2,0,0,1,0,0,0,1,3,0,0,0,0,morem001
0,BOS201805160,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,morem001
0,BOS201805180,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,morem001
0,BOS201805200,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,morem001
0,BOS201805250,2,1,0,0,1,0,0,0,0,1,4,0,0,0,0,morem001
0,BOS201805260,2,0,1,1,0,0,0,0,0,2,5,0,0,0,0,morem001
0,BOS201805270,1,0,0,1,0,0,0,0,0,1,4,0,0,0,0,morem001
0,BOS201805280,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,morem001
0,BOS201805290,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,morem001
0,BOS201805300,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,morem001
0,BOS201806050,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,morem001
0,BOS201806060,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,morem001
0,BOS201806070,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,morem001
0,BOS201806080,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,morem001
0,BOS201806100,1,1,0,0,0,2,0,0,0,0,3,0,0,0,0,morem001
0,BOS201806220,3,2,0,1,0,0,0,0,0,1,5,0,0,0,0,morem001
0,BOS201806230,2,1,0,1,0,0,0,0,0,1,4,0,0,0,0,morem001
0,BOS201806240,1,0,0,0,1,0,0,0,0,2,4,0,0,0,0,morem001
0,BOS201806260,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,morem001
0,BOS201806270,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,morem001
0,BOS201806280,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,morem001
0,BOS201807090,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,morem001
0,BOS201807100,1,1,0,0,0,1,0,0,1,2,2,0,0,0,0,morem001
0,BOS201807110,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,morem001
0,BOS201807130,1,1,0,0,0,1,0,0,0,1,4,0,0,0,0,morem001
0,BOS201807150,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,morem001
0,BOS201807280,1,1,0,0,0,0,0,0,0,1,5,0,0,0,0,morem001
0,BOS201807300,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,morem001
0,BOS201807310,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,morem001
0,BOS201808030,2,2,0,0,0,0,0,0,0,1,3,0,0,0,0,morem001
0,BOS201808040,1,0,0,0,1,1,0,0,0,2,3,0,0,0,0,morem001
0,BOS201808050,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,morem001
0,BOS201808170,2,1,1,0,0,0,0,0,0,1,4,0,0,0,0,morem001
0,BOS201808180,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,morem001
0,BOS201808190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,morem001
0,BOS201808200,1,1,0,0,0,2,0,0,0,0,3,0,0,0,0,morem001
0,BOS201808210,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,morem001
0,BOS201808220,2,1,0,0,1,1,0,0,0,2,4,0,0,0,0,morem001
0,BOS201808230,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,morem001
0,BOS201808280,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,morem001
0,BOS201809070,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,morem001
0,BOS201809080,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,morem001
0,BOS201809090,2,2,0,0,0,0,0,0,0,1,2,0,0,0,0,morem001
0,BOS201809120,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,morem001
0,BOS201809130,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,morem001
0,BOS201809140,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,morem001
0,BOS201809160,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,morem001
0,BOS201809261,2,1,1,0,0,1,0,0,0,0,4,0,0,0,0,morem001
0,BOS201809290,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,morem001
0,BOS201809300,1,0,1,0,0,1,0,0,0,1,3,0,0,0,0,morem001
0,OAK201804200,1,0,0,0,1,0,0,0,0,4,4,0,0,0,0,morem001
0,OAK201804220,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,morem001
0,DET201405220,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,morem001
0,DET201405230,1,0,1,0,0,0,0,0,0,2,3,0,0,0,0,morem001
0,DET201405240,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,morem001
0,DET201405250,3,2,1,0,0,1,0,0,0,3,5,0,0,0,0,morem001
0,BOS201505190,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,morem001
