,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,SFN201904050,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,poseb001
0,SFN201904060,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,poseb001
0,SFN201904080,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,poseb001
0,SFN201904090,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,poseb001
0,SFN201904100,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,poseb001
0,SFN201904110,1,1,0,0,0,2,0,0,0,0,2,0,0,0,0,poseb001
0,SFN201904120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,poseb001
0,SFN201904130,2,1,1,0,0,0,0,0,0,1,4,0,0,0,0,poseb001
0,SFN201904140,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,poseb001
0,SFN201904260,1,0,1,0,0,0,0,0,1,2,3,0,0,0,0,poseb001
0,SFN201904270,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,poseb001
0,SFN201904290,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,poseb001
0,SFN201904300,1,0,1,0,0,0,0,0,0,1,3,0,0,0,0,poseb001
0,SFN201905010,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,poseb001
0,SFN201905200,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,poseb001
0,SFN201905210,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,poseb001
0,SFN201905220,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,poseb001
0,SFN201905230,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,poseb001
0,SFN201905250,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,poseb001
0,SFN201905260,2,1,1,0,0,0,0,0,0,1,4,0,0,0,0,poseb001
0,SFN201906120,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,poseb001
0,SFN201906140,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,poseb001
0,SFN201906160,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,poseb001
0,SFN201906240,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,poseb001
0,SFN201906250,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,poseb001
