,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,ATL201705020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reynm003
0,ATL201705030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reynm003
0,ATL201706090,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reynm003
0,ATL201706101,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reynm003
0,ATL201709150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reynm003
0,PIT201606071,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reynm003
0,PIT201606080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reynm003
0,MIL201705130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reynm003
0,MIL201705140,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reynm003
0,NYN201705050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reynm003
0,NYN201705090,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reynm003
0,NYN201705200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reynm003
0,NYN201705210,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,reynm003
0,NYN201705230,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reynm003
0,NYN201705250,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,reynm003
0,NYN201705310,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reynm003
0,NYN201706170,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,reynm003
0,NYN201707020,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,reynm003
0,NYN201707150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reynm003
0,NYN201707160,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,reynm003
0,NYN201707210,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,reynm003
0,NYN201707220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reynm003
0,NYN201708170,2,2,0,0,0,0,0,0,0,1,4,0,0,0,0,reynm003
0,NYN201708180,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,reynm003
0,NYN201708190,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,reynm003
0,NYN201708220,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,reynm003
0,NYN201708230,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reynm003
0,NYN201708240,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,reynm003
0,NYN201709050,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,reynm003
0,NYN201709060,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,reynm003
0,NYN201709070,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,reynm003
0,NYN201709080,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,reynm003
0,NYN201709090,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,reynm003
0,NYN201709100,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,reynm003
0,NYN201709240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reynm003
0,NYN201709252,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,reynm003
0,NYN201709270,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,reynm003
0,WAS201605230,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reynm003
0,WAS201605240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reynm003
0,WAS201605250,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,reynm003
0,WAS201606270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reynm003
0,WAS201606280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reynm003
0,WAS201606290,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reynm003
0,WAS201609120,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,reynm003
0,NYN201804160,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,reynm003
0,NYN201804170,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reynm003
0,NYN201804180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reynm003
0,MIL201606090,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,reynm003
0,MIL201606100,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,reynm003
0,MIL201606120,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,reynm003
0,LAN201706190,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,reynm003
0,LAN201706200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reynm003
0,SDN201707270,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,reynm003
0,MIA201807270,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,reynm003
0,NYN201605170,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,reynm003
0,NYN201605180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reynm003
0,NYN201605210,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,reynm003
0,NYN201605280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reynm003
0,NYN201606140,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,reynm003
0,NYN201606150,3,1,2,0,0,0,0,0,0,2,5,0,0,0,0,reynm003
0,NYN201606180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,reynm003
0,NYN201606220,1,0,0,0,1,0,0,0,0,1,3,0,0,0,0,reynm003
