,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,ATL201907070,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,richt001
0,CIN201904100,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,richt001
0,WAS201907020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,richt001
0,CHN201905090,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,richt001
0,COL201806230,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,richt001
0,MIA201903290,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,richt001
0,MIA201904030,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,richt001
0,MIA201904150,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,richt001
0,MIA201904210,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,richt001
0,MIA201905040,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,richt001
0,MIA201905170,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,richt001
0,MIA201905280,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,richt001
0,MIA201906080,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,richt001
0,MIA201906140,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,richt001
0,MIA201906250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,richt001
0,MIA201906300,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,richt001
0,MIA201907170,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,richt001
0,NYN201809120,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,richt001
0,NYN201809290,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,richt001
0,PHI201804080,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,richt001
0,PHI201808030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,richt001
0,PHI201904270,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,richt001
0,SDN201906020,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,richt001
0,MIA201804020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,richt001
0,MIA201804140,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,richt001
0,MIA201806120,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,richt001
0,MIA201806280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,richt001
0,MIA201807030,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,richt001
0,MIA201807140,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,richt001
0,MIA201807280,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,richt001
0,MIA201808080,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,richt001
0,MIA201808220,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,richt001
0,MIA201809170,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,richt001
0,MIA201809230,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,richt001
0,LAN201804250,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,richt001
0,SLN201906190,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,richt001
0,ATL201808140,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,richt001
0,MIL201804200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,richt001
0,SLN201806070,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,richt001
0,WAS201807080,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,richt001
