,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,PIT201605230,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rusic001
0,NYN201707150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rusic001
0,COL201804220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rusic001
0,COL201806240,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,rusic001
0,COL201808260,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,rusic001
0,COL201809250,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,rusic001
0,SFN201605050,1,1,0,0,0,0,0,0,0,2,4,0,0,0,0,rusic001
0,ARI201604300,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,rusic001
0,SFN201704130,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,rusic001
0,ARI201507020,1,1,0,0,0,0,0,0,0,1,2,0,0,0,0,rusic001
0,SLN201605180,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,rusic001
0,CIN201505260,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,rusic001
0,SLN201404120,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,rusic001
0,LAN201706240,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,rusic001
0,COL201506060,1,1,0,0,0,0,1,0,0,0,3,0,0,0,0,rusic001
0,COL201506210,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,rusic001
0,COL201507080,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,rusic001
0,COL201507120,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,rusic001
0,COL201507200,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,rusic001
0,COL201507250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rusic001
0,COL201508050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rusic001
0,COL201508160,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,rusic001
0,COL201508220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rusic001
0,COL201509030,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,rusic001
0,COL201509220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rusic001
0,COL201509270,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,rusic001
0,SDN201606030,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,rusic001
0,ARI201709140,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rusic001
0,LAN201509150,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,rusic001
0,SFN201506270,1,1,0,0,0,0,1,0,0,1,3,0,0,0,0,rusic001
0,SFN201510030,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,rusic001
0,MIA201506110,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,rusic001
0,LAN201807010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rusic001
0,PHI201608130,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,rusic001
0,SDN201509090,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rusic001
0,CHN201706090,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,rusic001
0,COL201604080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rusic001
0,COL201604130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rusic001
0,COL201604240,1,1,0,0,0,0,1,0,0,1,2,0,0,0,0,rusic001
0,COL201605100,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,rusic001
0,COL201605290,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,rusic001
0,COL201608020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rusic001
0,COL201608070,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,rusic001
0,COL201608160,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rusic001
0,COL201608200,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,rusic001
0,COL201609210,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rusic001
0,WAS201407050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rusic001
0,LAN201606080,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,rusic001
0,COL201705060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rusic001
0,COL201705120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rusic001
0,COL201708040,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,rusic001
0,COL201708280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rusic001
0,PHI201505310,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,rusic001
0,SLN201507300,2,1,0,0,1,0,1,0,0,2,2,0,0,0,0,rusic001
0,SLN201507310,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,rusic001
0,CIN201604190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rusic001
0,ATL201508250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rusic001
0,PIT201508290,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,rusic001
0,NYN201508110,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,rusic001
0,NYN201508130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,rusic001
