,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,BAL201607100,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,sotog001
0,KCA201504090,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,sotog001
0,KCA201508080,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,sotog001
0,KCA201508090,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,sotog001
0,KCA201509050,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,sotog001
0,CHA201604180,2,2,0,0,0,0,1,1,0,1,3,0,0,0,0,sotog001
0,CHA201604200,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,sotog001
0,OAK201505150,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,sotog001
0,OAK201505170,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,sotog001
0,TOR201407180,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,sotog001
0,TOR201407200,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,sotog001
0,BOS201507280,2,0,1,0,1,3,0,0,0,3,2,0,0,0,0,sotog001
0,ANA201604050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,sotog001
0,ANA201604070,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,sotog001
0,ANA201604100,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,sotog001
0,ANA201604240,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,sotog001
0,ANA201605070,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,sotog001
0,ANA201605100,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,sotog001
0,ANA201605110,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,sotog001
0,ANA201605120,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,sotog001
0,ANA201607150,2,1,1,0,0,0,0,0,0,1,3,0,0,0,0,sotog001
0,BAL201504290,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,sotog001
0,BAL201505282,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,sotog001
0,KCA201705020,2,2,0,0,0,0,0,0,1,2,3,0,0,0,0,sotog001
0,KCA201705040,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,sotog001
0,SEA201605130,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,sotog001
0,SEA201605150,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,sotog001
0,MIL201605020,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,sotog001
0,MIL201605040,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,sotog001
0,DET201504170,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,sotog001
0,DET201506280,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,sotog001
0,DET201509211,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,sotog001
0,DET201509230,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,sotog001
0,TEX201506020,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,sotog001
0,CLE201704110,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,sotog001
0,NYA201407210,2,2,0,0,0,0,0,0,0,1,3,0,0,0,0,sotog001
0,OAK201409010,1,1,0,0,0,0,0,0,0,2,4,0,0,0,0,sotog001
0,OAK201409020,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,sotog001
0,OAK201409070,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,sotog001
0,OAK201409170,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,sotog001
0,OAK201409210,1,0,1,0,0,2,0,0,0,3,3,0,0,0,0,sotog001
0,OAK201409220,1,1,0,0,0,0,0,0,0,2,4,0,0,0,0,sotog001
0,OAK201409230,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,sotog001
0,DET201704280,1,1,0,0,0,0,0,0,0,2,4,0,0,0,0,sotog001
0,DET201704300,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,sotog001
0,MIN201505020,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,sotog001
