,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,KCA201507200,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,stewc001
0,KCA201507210,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,stewc001
0,KCA201507220,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,stewc001
0,ATL201409240,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,stewc001
0,ATL201409250,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,stewc001
0,ATL201705240,0,0,0,0,0,1,1,1,0,0,3,0,0,0,0,stewc001
0,NYN201405280,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,stewc001
0,PIT201604140,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,stewc001
0,PIT201604170,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,stewc001
0,PIT201605010,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,stewc001
0,PIT201605030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,stewc001
0,PIT201605040,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,stewc001
0,PIT201605190,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,stewc001
0,PIT201605240,1,1,0,0,0,2,0,0,0,0,3,0,0,0,0,stewc001
0,PIT201605250,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,stewc001
0,PIT201606030,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,stewc001
0,PIT201606040,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,stewc001
0,PIT201606050,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,stewc001
0,PIT201606072,2,2,0,0,0,0,0,0,0,1,4,0,0,0,0,stewc001
0,PIT201606080,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,stewc001
0,PIT201606100,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,stewc001
0,PIT201606110,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,stewc001
0,PIT201606210,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,stewc001
0,PIT201606220,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,stewc001
0,PIT201606240,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,stewc001
0,PIT201606260,2,1,1,0,0,0,0,0,0,0,3,0,0,0,0,stewc001
0,PIT201609040,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,stewc001
0,PIT201609060,2,2,0,0,0,1,0,0,0,0,3,0,0,0,0,stewc001
0,PIT201609110,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,stewc001
0,MIL201706210,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,stewc001
0,MIL201708150,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,stewc001
0,MIL201708160,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,stewc001
0,MIL201709120,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,stewc001
0,DET201408140,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,stewc001
0,COL201809100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,stewc001
0,TBA201406250,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,stewc001
0,BOS201704130,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,stewc001
0,ARI201604240,1,1,0,0,0,1,0,0,0,1,6,0,0,0,0,stewc001
0,SFN201707250,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,stewc001
0,SEA201606280,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,stewc001
0,ARI201504260,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,stewc001
0,SLN201605080,2,1,1,0,0,0,0,0,0,2,5,0,0,0,0,stewc001
0,CIN201507300,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,stewc001
0,CIN201508010,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,stewc001
0,CIN201509070,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,stewc001
0,DET201506300,3,2,1,0,0,0,0,0,0,0,7,0,0,0,0,stewc001
0,SLN201404250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,stewc001
0,SLN201407090,1,1,0,0,0,0,1,0,0,0,3,0,0,0,0,stewc001
0,LAN201705080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,stewc001
0,COL201509240,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,stewc001
0,SDN201707300,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,stewc001
0,SDN201604200,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,stewc001
0,SDN201406040,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,stewc001
0,SFN201407300,1,1,0,0,0,2,0,0,0,0,2,0,0,0,0,stewc001
0,MIL201405130,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,stewc001
0,MIL201405140,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,stewc001
0,PIT201404200,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,stewc001
0,PIT201404230,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,stewc001
0,PIT201404240,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,stewc001
0,PIT201405040,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,stewc001
0,PIT201405050,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,stewc001
0,PIT201405070,2,2,0,0,0,1,0,0,0,0,3,0,0,0,0,stewc001
0,PIT201405200,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,stewc001
0,PIT201405220,1,0,1,0,0,2,0,0,0,0,2,0,0,0,0,stewc001
0,PIT201405250,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,stewc001
0,PIT201406090,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,stewc001
0,PIT201406170,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,stewc001
0,PIT201406190,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,stewc001
0,PIT201406280,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,stewc001
0,PIT201406290,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,stewc001
0,PIT201407050,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,stewc001
0,PIT201407190,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,stewc001
0,PIT201407200,2,0,2,0,0,0,0,0,0,1,4,0,0,0,0,stewc001
0,PIT201408050,2,2,0,0,0,0,0,0,0,1,4,0,0,0,0,stewc001
0,PIT201408100,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,stewc001
0,PIT201408200,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,stewc001
0,PIT201408310,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,stewc001
0,PIT201409120,2,2,0,0,0,0,0,0,0,1,4,0,0,0,0,stewc001
0,PIT201409170,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,stewc001
0,PIT201409180,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,stewc001
