,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,SFN201905200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,suara002
0,SFN201905250,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,suara002
0,COL201805280,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,suara002
0,COL201807040,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,suara002
0,COL201809050,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,suara002
0,CIN201808190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,suara002
0,MIA201806130,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,suara002
0,SDN201809170,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,suara002
0,LAN201808140,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,suara002
0,PIT201805110,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,suara002
0,ARI201806290,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,suara002
0,ARI201808040,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,suara002
0,ATL201805060,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,suara002
0,SFN201804110,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,suara002
0,SFN201805010,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,suara002
0,SFN201805160,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,suara002
0,SFN201806020,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,suara002
0,SFN201806180,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,suara002
0,SFN201806230,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,suara002
0,SFN201807090,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,suara002
0,SFN201807150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,suara002
0,SFN201807290,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,suara002
0,SFN201808090,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,suara002
0,SFN201808250,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,suara002
0,SFN201808310,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,suara002
0,SFN201809110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,suara002
0,SLN201809230,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,suara002
0,WAS201806080,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,suara002
