,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,ATL201407220,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,turnj002
0,ARI201407070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,turnj002
0,SDN201405080,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,turnj002
0,SFN201405180,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,turnj002
0,MIL201409280,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,turnj002
0,PIT201409140,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,turnj002
0,CHN201408140,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,turnj002
0,CHN201409010,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,turnj002
0,CHN201409210,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,turnj002
0,PIT201705170,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,turnj002
0,WAS201705030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,turnj002
0,WAS201706120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,turnj002
0,SLN201706300,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,turnj002
0,CIN201408270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,turnj002
0,LAN201405130,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,turnj002
0,COL201704240,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,turnj002
0,MIA201404030,1,0,1,0,0,0,1,0,0,0,2,0,0,0,0,turnj002
0,MIA201405030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,turnj002
0,MIA201405240,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,turnj002
0,MIA201405310,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,turnj002
0,MIA201406220,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,turnj002
0,MIA201406280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,turnj002
0,MIA201408030,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,turnj002
0,PHI201705060,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,turnj002
