,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,BAL201605120,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,uptoj001
0,BAL201605130,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,uptoj001
0,BAL201605140,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,uptoj001
0,BAL201605150,2,1,1,0,0,1,0,0,0,0,4,0,0,0,0,uptoj001
0,CHA201606130,1,1,0,0,0,2,0,0,0,1,4,0,0,0,0,uptoj001
0,CHA201606140,2,0,1,1,0,1,0,0,0,4,4,0,0,0,0,uptoj001
0,CHA201606150,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,uptoj001
0,CHA201607210,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,uptoj001
0,CHA201607220,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,uptoj001
0,CHA201607230,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,uptoj001
0,CHA201607240,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,uptoj001
0,CHA201609050,1,0,0,0,1,0,0,0,0,3,4,0,0,0,0,uptoj001
0,CHA201609060,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,uptoj001
0,CHA201609070,2,1,0,0,1,0,0,0,0,3,4,0,0,0,0,uptoj001
0,ATL201404080,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,uptoj001
0,ATL201404090,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,uptoj001
0,ATL201404100,3,1,0,0,2,0,0,0,0,3,4,0,0,0,0,uptoj001
0,ATL201404110,3,2,0,0,1,1,0,0,0,2,3,0,0,0,0,uptoj001
0,ATL201404120,3,1,2,0,0,0,0,0,0,1,4,0,0,0,0,uptoj001
0,ATL201404130,2,1,0,0,1,2,0,0,0,2,3,0,0,0,0,uptoj001
0,ATL201404210,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,uptoj001
0,ATL201404220,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,uptoj001
0,ATL201404230,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,uptoj001
0,ATL201404250,1,0,0,0,1,0,0,0,0,3,4,0,0,0,0,uptoj001
0,ATL201404260,3,2,0,0,1,1,0,0,0,1,3,0,0,0,0,uptoj001
0,ATL201404270,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,uptoj001
0,ATL201405020,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,uptoj001
0,ATL201405030,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,uptoj001
0,ATL201405040,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,uptoj001
0,ATL201405050,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,uptoj001
0,ATL201405060,2,1,0,0,1,0,0,0,0,1,4,0,0,0,0,uptoj001
0,ATL201405070,2,0,2,0,0,0,0,0,0,0,4,0,0,0,0,uptoj001
