,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,KCA201507071,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,jasoj001
0,KCA201507072,2,0,1,0,1,1,0,0,0,1,3,0,0,0,0,jasoj001
0,KCA201507080,3,3,0,0,0,1,0,0,0,0,4,0,0,0,0,jasoj001
0,KCA201507090,1,1,0,0,0,0,0,0,1,1,4,0,0,0,0,jasoj001
0,ATL201408150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,jasoj001
0,ATL201408160,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,jasoj001
0,ATL201408170,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,jasoj001
0,ATL201705220,2,1,1,0,0,0,0,0,0,1,4,0,0,0,0,jasoj001
0,ATL201705230,2,1,1,0,0,0,0,0,0,1,5,0,0,0,0,jasoj001
0,ATL201705240,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,jasoj001
0,NYN201406240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,jasoj001
0,NYN201406250,2,2,0,0,0,1,0,0,0,0,4,0,0,0,0,jasoj001
0,PIT201604030,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,jasoj001
0,PIT201604050,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,jasoj001
0,PIT201604060,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,jasoj001
0,PIT201604130,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,jasoj001
0,PIT201604140,3,2,1,0,0,0,0,0,0,0,5,0,0,0,0,jasoj001
0,PIT201604150,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,jasoj001
0,PIT201604160,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,jasoj001
0,PIT201604170,2,2,0,0,0,1,0,0,0,1,4,0,0,0,0,jasoj001
