,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,BAL201605170,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,martl004
0,BAL201605180,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,martl004
0,BAL201605190,2,1,0,0,1,1,0,0,0,2,3,0,0,0,0,martl004
0,KCA201506050,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,martl004
0,KCA201506060,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,martl004
0,KCA201506070,1,1,0,0,0,0,0,0,0,2,4,0,0,0,0,martl004
0,CHA201608250,1,1,0,0,0,0,0,0,0,2,4,0,0,0,0,martl004
0,CHA201608260,1,1,0,0,0,0,1,0,0,0,4,0,0,0,0,martl004
0,CHA201608270,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,martl004
0,CHA201608280,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,martl004
0,ATL201708210,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,martl004
0,ATL201708220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,martl004
0,NYN201407040,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,martl004
0,NYN201407050,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,martl004
0,NYN201407060,2,1,0,0,1,0,0,0,0,2,4,0,0,0,0,martl004
0,PIT201607260,2,1,1,0,0,0,0,0,0,1,4,0,0,0,0,martl004
0,PIT201607270,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,martl004
0,OAK201504060,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,martl004
0,OAK201504070,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,martl004
0,OAK201504080,1,1,0,0,0,0,1,0,0,0,3,0,0,0,0,martl004
0,OAK201504090,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,martl004
0,OAK201506090,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,martl004
0,OAK201506100,2,1,1,0,0,1,0,0,0,1,2,0,0,0,0,martl004
0,OAK201506110,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,martl004
0,MIL201709210,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,martl004
0,MIL201709220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,martl004
0,BOS201806050,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,martl004
0,BOS201806060,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,martl004
0,BOS201806070,2,0,0,1,1,0,0,0,0,2,4,0,0,0,0,martl004
0,TOR201407180,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,martl004
0,TOR201407190,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,martl004
0,TOR201407200,3,3,0,0,0,0,0,0,0,0,4,0,0,0,0,martl004
0,DET201405220,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,martl004
0,DET201405230,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,martl004
0,DET201405240,2,2,0,0,0,1,0,0,0,1,4,0,0,0,0,martl004
0,DET201405250,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,martl004
0,MIA201904300,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,martl004
0,MIA201905010,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,martl004
0,BOS201505190,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,martl004
0,BOS201505200,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,martl004
0,BOS201505210,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,martl004
0,TBA201404040,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,martl004
0,TBA201404050,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,martl004
0,TBA201404060,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,martl004
0,ANA201604220,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,martl004
0,ANA201604230,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,martl004
0,ANA201604240,1,0,0,0,1,1,0,0,0,2,3,0,0,0,0,martl004
0,ANA201608150,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,martl004
0,ANA201608160,1,1,0,0,0,0,1,0,0,0,4,0,0,0,0,martl004
0,ANA201608170,1,1,0,0,0,0,0,0,1,1,3,0,0,0,0,martl004
0,ANA201608180,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,martl004
0,ANA201609120,4,1,3,0,0,0,0,0,0,0,4,0,0,0,0,martl004
0,ANA201609130,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,martl004
0,ANA201609140,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,martl004
0,SEA201805180,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,martl004
0,SEA201805190,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,martl004
0,SEA201805200,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,martl004
0,OAK201905100,1,1,0,0,0,0,2,1,0,0,4,0,0,0,0,martl004
0,OAK201905110,2,1,0,0,1,0,1,0,0,2,4,0,0,0,0,martl004
0,OAK201905120,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,martl004
0,HOU201605050,2,2,0,0,0,0,1,0,0,0,4,0,0,0,0,martl004
0,HOU201605060,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,martl004
0,HOU201605070,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,martl004
