,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,ATL201409190,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,dendm001
0,ATL201409210,1,0,1,0,0,1,0,0,0,0,4,0,0,0,0,dendm001
0,NYN201405260,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dendm001
0,NYN201406100,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,dendm001
0,NYN201406110,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,dendm001
0,NYN201406120,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,dendm001
0,NYN201406130,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,dendm001
0,NYN201406140,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,dendm001
0,NYN201406150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dendm001
0,NYN201408120,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,dendm001
0,NYN201408130,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,dendm001
0,NYN201408140,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,dendm001
0,NYN201408160,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,dendm001
0,NYN201408170,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,dendm001
0,NYN201408180,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,dendm001
0,NYN201408270,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,dendm001
0,NYN201408290,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,dendm001
0,NYN201408300,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,dendm001
0,NYN201408310,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,dendm001
0,NYN201409080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dendm001
0,NYN201409090,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,dendm001
0,NYN201409140,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,dendm001
0,NYN201409150,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,dendm001
0,NYN201409160,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,dendm001
0,NYN201409170,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,dendm001
0,NYN201409260,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,dendm001
0,NYN201409270,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,dendm001
0,NYN201409280,2,1,1,0,0,0,0,0,0,1,4,0,0,0,0,dendm001
0,WAS201604070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dendm001
0,WAS201604100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dendm001
0,WAS201604110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dendm001
0,WAS201604140,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,dendm001
0,WAS201604220,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,dendm001
0,WAS201604230,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,dendm001
