,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,SFN201906240,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,dicka001
0,SFN201906250,2,1,1,0,0,1,0,0,0,0,3,0,0,0,0,dicka001
0,SFN201906260,1,0,1,0,0,1,0,0,0,1,3,0,0,0,0,dicka001
0,SFN201906270,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,dicka001
0,SFN201906280,2,1,0,0,1,0,0,0,0,2,4,0,0,0,0,dicka001
0,SFN201906290,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,dicka001
0,SFN201906300,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,dicka001
0,SFN201907050,2,1,0,0,1,0,0,0,0,1,4,0,0,0,0,dicka001
0,SFN201907060,1,0,0,1,0,0,0,0,0,1,3,0,0,0,0,dicka001
0,SFN201907070,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,dicka001
0,SFN201907180,3,1,1,1,0,0,0,0,0,0,7,0,0,0,0,dicka001
0,SFN201907190,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,dicka001
0,SFN201907200,1,0,0,0,1,0,0,0,0,2,4,0,0,0,0,dicka001
0,SFN201907210,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dicka001
0,SFN201907230,2,0,1,0,1,0,0,0,0,1,5,0,0,0,0,dicka001
0,SFN201907240,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,dicka001
0,SFN201908140,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,dicka001
0,SFN201908260,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,dicka001
0,SFN201908270,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,dicka001
0,SFN201908290,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,dicka001
0,SFN201908300,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,dicka001
0,SFN201908310,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,dicka001
0,SFN201909150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dicka001
0,SFN201909240,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,dicka001
0,SFN201909250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dicka001
0,SFN201909260,1,0,1,0,0,0,0,0,0,1,3,0,0,0,0,dicka001
0,SFN201909270,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,dicka001
0,SFN201909280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dicka001
0,SFN201909290,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,dicka001
0,ATL201909200,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,dicka001
0,PIT201608090,1,0,1,0,0,1,0,0,0,1,3,0,0,0,0,dicka001
0,PIT201608100,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,dicka001
0,PIT201608110,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,dicka001
0,CHN201908210,2,1,1,0,0,0,0,0,0,0,5,0,0,0,0,dicka001
0,CHN201908220,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,dicka001
0,WAS201607220,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,dicka001
0,WAS201607230,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dicka001
0,WAS201607240,3,1,1,0,1,0,0,0,0,1,5,0,0,0,0,dicka001
0,SFN201609120,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,dicka001
0,SFN201609130,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,dicka001
0,SFN201609140,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,dicka001
0,OAK201908240,3,2,1,0,0,0,0,0,0,0,5,0,0,0,0,dicka001
0,OAK201908250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dicka001
0,ARI201607040,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,dicka001
0,ARI201607050,1,0,1,0,0,0,0,0,0,1,4,0,0,0,0,dicka001
0,ARI201607060,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,dicka001
0,ARI201609300,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,dicka001
0,ARI201610010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dicka001
0,ARI201610020,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,dicka001
0,SLN201607180,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,dicka001
0,SLN201607201,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,dicka001
0,SLN201607202,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,dicka001
0,SLN201607210,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,dicka001
0,PHI201907300,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dicka001
0,MIL201605120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dicka001
0,BOS201909170,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,dicka001
0,BOS201909180,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,dicka001
0,SDN201905030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dicka001
0,SDN201905040,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,dicka001
0,SDN201905050,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,dicka001
0,SDN201905060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dicka001
0,SDN201905070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dicka001
0,SDN201905160,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,dicka001
0,SDN201905180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dicka001
0,SDN201905190,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,dicka001
0,SDN201907010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dicka001
0,SDN201907020,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,dicka001
0,SDN201907030,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,dicka001
0,SDN201907260,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,dicka001
0,SDN201907270,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,dicka001
0,SDN201907280,2,1,1,0,0,0,0,0,0,1,3,0,0,0,0,dicka001
0,COL201509180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dicka001
0,COL201509190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dicka001
0,SDN201605030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dicka001
0,SDN201605040,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dicka001
0,SDN201605060,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,dicka001
0,SDN201605070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dicka001
0,SDN201605080,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dicka001
0,SDN201606280,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,dicka001
0,SDN201606290,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,dicka001
0,SDN201607010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dicka001
0,SDN201607030,1,0,0,0,1,0,1,0,0,2,4,0,0,0,0,dicka001
0,SDN201607160,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,dicka001
0,SDN201607170,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,dicka001
0,SDN201608010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dicka001
0,SDN201608020,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,dicka001
0,SDN201608030,1,0,1,0,0,1,0,0,0,1,3,0,0,0,0,dicka001
0,SDN201608050,1,1,0,0,0,0,0,0,1,1,3,0,0,0,0,dicka001
0,SDN201608060,2,1,1,0,0,0,0,0,0,0,5,0,0,0,0,dicka001
0,SDN201608070,1,0,0,0,1,0,0,0,1,2,3,0,0,0,0,dicka001
0,SDN201608180,1,0,1,0,0,1,0,0,0,4,4,0,0,0,0,dicka001
0,SDN201608190,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,dicka001
0,SDN201608210,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,dicka001
0,SDN201608220,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,dicka001
0,SDN201608230,1,1,0,0,0,2,0,0,0,0,2,0,0,0,0,dicka001
0,SDN201608240,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,dicka001
0,SDN201609050,2,1,1,0,0,1,0,0,0,0,2,0,0,0,0,dicka001
0,SDN201609060,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,dicka001
0,SDN201609070,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,dicka001
0,SDN201609080,2,2,0,0,0,1,0,0,0,1,4,0,0,0,0,dicka001
0,SDN201609090,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,dicka001
0,SDN201609100,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,dicka001
0,SDN201609110,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,dicka001
0,SDN201609190,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,dicka001
0,SDN201609200,2,0,2,0,0,1,0,0,0,1,3,0,0,0,0,dicka001
0,SDN201609210,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,dicka001
0,SDN201609220,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,dicka001
0,SDN201609230,1,1,0,0,0,1,0,0,0,2,3,0,0,0,0,dicka001
0,SDN201609250,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,dicka001
0,SDN201609280,1,1,0,0,0,2,0,0,0,0,2,0,0,0,0,dicka001
0,SDN201609290,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dicka001
0,NYN201608120,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,dicka001
0,NYN201608130,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,dicka001
0,NYN201608140,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,dicka001
0,LAN201905150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dicka001
0,SFN201509110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dicka001
0,SFN201509120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dicka001
0,SFN201509130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dicka001
0,TOR201607250,3,1,1,0,1,0,0,0,0,2,4,0,0,0,0,dicka001
0,TOR201607260,2,1,0,0,1,0,0,0,0,3,5,0,0,0,0,dicka001
0,TOR201607270,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,dicka001
0,TBA201608160,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,dicka001
0,TBA201608170,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,dicka001
0,SDN201508070,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,dicka001
0,SDN201509090,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,dicka001
0,COL201609160,1,1,0,0,0,0,0,0,0,2,4,0,0,0,0,dicka001
0,COL201609180,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,dicka001
0,COL201905100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dicka001
0,COL201905110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dicka001
0,COL201905120,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,dicka001
0,COL201907151,3,1,2,0,0,1,0,0,0,1,5,0,0,0,0,dicka001
0,COL201907160,4,3,1,0,0,0,0,0,0,2,5,0,0,0,0,dicka001
0,COL201907170,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,dicka001
0,CHN201605100,1,0,0,0,1,0,0,0,0,4,1,0,0,0,0,dicka001
0,CHN201605111,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,dicka001
0,SLN201909020,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,dicka001
0,SLN201909030,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,dicka001
0,MIL201907120,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,dicka001
0,MIA201608260,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,dicka001
0,MIA201608270,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,dicka001
0,MIA201608280,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,dicka001
0,ATL201608300,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,dicka001
0,ATL201608310,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,dicka001
0,ATL201609010,1,0,0,1,0,0,0,0,0,1,4,0,0,0,0,dicka001
0,LAN201607070,2,0,1,1,0,0,0,0,0,2,4,0,0,0,0,dicka001
0,LAN201607080,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,dicka001
0,LAN201607100,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,dicka001
0,LAN201609020,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,dicka001
0,LAN201609030,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,dicka001
0,LAN201609040,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,dicka001
0,MIL201508060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dicka001
0,ARI201906210,3,1,0,1,1,0,0,0,0,6,5,0,0,0,0,dicka001
0,ARI201906220,2,0,2,0,0,0,0,0,0,3,4,0,0,0,0,dicka001
0,ARI201906230,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,dicka001
0,ARI201908150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,dicka001
0,ARI201908160,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,dicka001
0,ARI201908170,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,dicka001
0,ARI201908180,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,dicka001
