,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,BOS201805140,1,0,0,1,0,0,0,0,0,1,4,0,0,0,0,fowld002
0,OAK201805090,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fowld002
0,OAK201805220,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,fowld002
0,OAK201805240,2,2,0,0,0,0,0,0,0,1,3,0,0,0,0,fowld002
0,OAK201805260,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,fowld002
0,OAK201805270,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,fowld002
0,OAK201805280,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,fowld002
0,OAK201805300,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,fowld002
0,OAK201806070,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,fowld002
0,OAK201806080,2,1,0,0,1,0,0,0,0,1,4,0,0,0,0,fowld002
0,OAK201806090,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fowld002
0,OAK201806100,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,fowld002
0,OAK201806120,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,fowld002
0,OAK201806130,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,fowld002
0,OAK201806140,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,fowld002
0,OAK201806150,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,fowld002
0,OAK201806160,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,fowld002
0,OAK201806170,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fowld002
0,OAK201806290,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,fowld002
0,OAK201806300,2,1,0,0,1,0,0,0,0,1,4,0,0,0,0,fowld002
0,OAK201807010,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,fowld002
0,OAK201807040,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,fowld002
0,OAK201807200,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,fowld002
0,OAK201807210,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fowld002
0,OAK201807220,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,fowld002
0,OAK201808310,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,fowld002
0,OAK201809010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fowld002
0,OAK201809180,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,fowld002
0,OAK201809200,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,fowld002
0,COL201807280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fowld002
0,TOR201805170,1,1,0,0,0,1,0,0,0,1,4,0,0,0,0,fowld002
0,TOR201805180,2,0,1,0,1,1,0,0,0,2,3,0,0,0,0,fowld002
0,TOR201805190,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,fowld002
0,TOR201805200,1,1,0,0,0,0,0,0,1,2,4,0,0,0,0,fowld002
0,NYA201805110,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,fowld002
0,NYA201805120,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,fowld002
0,NYA201805130,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,fowld002
0,SDN201806190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fowld002
0,SDN201806200,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,fowld002
0,BAL201809120,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,fowld002
0,BAL201809130,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fowld002
0,CHA201806221,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,fowld002
0,CHA201806222,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,fowld002
0,CHA201806230,2,2,0,0,0,1,0,0,1,1,3,0,0,0,0,fowld002
0,TEX201806050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,fowld002
0,TEX201806060,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,fowld002
0,TEX201807260,1,0,0,1,0,0,0,0,0,1,3,0,0,0,0,fowld002
0,HOU201807090,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,fowld002
0,HOU201807100,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,fowld002
0,HOU201807110,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,fowld002
0,CLE201807060,2,1,0,0,1,0,0,0,0,2,3,0,0,0,0,fowld002
0,CLE201807070,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,fowld002
0,CLE201807080,2,2,0,0,0,0,0,0,0,1,5,0,0,0,0,fowld002
0,KCA201806010,3,1,0,0,2,0,0,0,0,4,5,0,0,0,0,fowld002
0,KCA201806020,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,fowld002
0,KCA201806030,3,3,0,0,0,0,0,0,0,0,4,0,0,0,0,fowld002
0,DET201806250,2,1,1,0,0,0,0,0,0,0,5,0,0,0,0,fowld002
0,DET201806260,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,fowld002
0,DET201806270,1,0,1,0,0,0,0,0,0,1,5,0,0,0,0,fowld002
0,DET201806280,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,fowld002
0,SFN201807140,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,fowld002
