,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,ATL201404110,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,frank001
0,ATL201404120,2,2,0,0,0,1,0,0,0,0,3,0,0,0,0,frank001
0,ATL201404130,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,frank001
0,ATL201408080,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,frank001
0,ATL201408090,1,0,1,0,0,0,0,0,0,2,5,0,0,0,0,frank001
0,ATL201408100,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,ATL201409150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,ATL201409170,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,frank001
0,NYN201404030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,NYN201408130,1,1,0,0,0,0,0,0,1,1,2,0,0,0,0,frank001
0,NYN201408140,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,NYN201409120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,NYN201409140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,frank001
0,OAK201509250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,ARI201405120,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,frank001
0,ARI201405130,1,1,0,0,0,0,1,0,0,0,3,0,0,0,0,frank001
0,ARI201405140,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,SLN201406150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,SDN201406060,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,frank001
0,SDN201406070,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,frank001
0,SDN201406080,2,1,1,0,0,0,0,0,0,1,5,0,0,0,0,frank001
0,SFN201406090,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,frank001
0,SFN201406120,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,frank001
0,MIL201406250,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,frank001
0,PIT201405220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,PIT201405230,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,PIT201405250,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,frank001
0,CHN201406270,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,CHN201406281,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,frank001
0,CHN201406282,2,2,0,0,0,0,0,0,0,1,3,0,0,0,0,frank001
0,OAK201405090,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,frank001
0,OAK201405100,2,1,1,0,0,0,0,0,0,2,5,0,0,0,0,frank001
0,OAK201405110,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,frank001
0,SFN201509280,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,frank001
0,SFN201509290,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,frank001
0,SFN201510010,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,SFN201510020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,frank001
0,SFN201510030,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,frank001
0,COL201407210,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,COL201407230,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,frank001
0,PHI201405020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,PHI201405040,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,frank001
0,PHI201407120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,PHI201408250,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,PHI201408260,2,2,0,0,0,0,0,0,0,1,3,0,0,0,0,frank001
0,PHI201408270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,SDN201509240,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,frank001
0,WAS201404040,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,WAS201404050,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,WAS201404060,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,frank001
0,WAS201404090,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,WAS201404100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,frank001
0,WAS201404190,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,frank001
0,WAS201404200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,WAS201404220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,WAS201404240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,WAS201404250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,WAS201404260,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,frank001
0,WAS201404270,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,WAS201405050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,WAS201405060,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,WAS201405070,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,frank001
0,WAS201405180,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,frank001
0,WAS201405190,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,frank001
0,WAS201405200,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,frank001
0,WAS201405210,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,frank001
0,WAS201405260,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,WAS201405280,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,frank001
0,WAS201405310,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,WAS201406030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,WAS201406050,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,frank001
0,WAS201406170,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,WAS201406200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,WAS201406300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,frank001
0,WAS201407010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,WAS201407020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,WAS201407050,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,frank001
0,WAS201407070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,WAS201407180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,WAS201407310,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,frank001
0,WAS201408020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,WAS201408030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,WAS201408150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,WAS201408160,3,3,0,0,0,0,0,0,0,1,4,0,0,0,0,frank001
0,WAS201408170,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,WAS201408180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,WAS201408200,2,2,0,0,0,1,0,0,0,0,3,0,0,0,0,frank001
0,WAS201408210,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,WAS201408220,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,WAS201408240,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,WAS201409050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,WAS201409070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,WAS201409100,3,3,0,0,0,0,0,0,0,0,4,0,0,0,0,frank001
0,WAS201409230,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,frank001
0,WAS201409251,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,frank001
0,WAS201409262,2,2,0,0,0,0,0,0,0,2,5,0,0,0,0,frank001
0,WAS201409270,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,frank001
0,WAS201409280,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,frank001
0,CIN201407260,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,frank001
0,HOU201404290,1,1,0,0,0,0,1,0,0,0,3,0,0,0,0,frank001
0,HOU201404300,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,frank001
0,LAN201409010,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
0,LAN201409020,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,frank001
0,LAN201409030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,frank001
