,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,SFN201908050,1,0,1,0,0,2,0,0,0,1,3,0,0,0,0,adamm002
0,SFN201908060,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,adamm002
0,ATL201905290,2,1,0,0,1,1,0,0,0,3,4,0,0,0,0,adamm002
0,ATL201907180,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,adamm002
0,ATL201907190,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,adamm002
0,ATL201907200,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,adamm002
0,ATL201907210,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,adamm002
0,ATL201909060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,adamm002
0,ATL201909070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,adamm002
0,ATL201909080,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,adamm002
0,KCA201505220,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,adamm002
0,KCA201505230,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,adamm002
0,KCA201505240,2,0,2,0,0,0,0,0,0,1,4,0,0,0,0,adamm002
0,ATL201405050,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,adamm002
0,ATL201405060,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,adamm002
0,ATL201405070,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,adamm002
0,ATL201705050,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,adamm002
0,ATL201705060,2,1,0,0,1,0,0,0,0,1,4,0,0,0,0,adamm002
0,ATL201705070,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,adamm002
0,ATL201705210,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,adamm002
0,ATL201705220,2,1,0,0,1,0,0,0,0,2,4,0,0,0,0,adamm002
0,ATL201705230,3,1,1,0,1,0,0,0,0,2,5,0,0,0,0,adamm002
0,ATL201705240,1,0,0,1,0,0,0,0,0,0,5,0,0,0,0,adamm002
0,ATL201705250,1,0,1,0,0,0,0,0,0,0,4,0,0,0,0,adamm002
0,ATL201706050,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,adamm002
0,ATL201706060,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,adamm002
0,ATL201706070,1,0,0,0,1,1,0,0,0,3,4,0,0,0,0,adamm002
0,ATL201706080,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,adamm002
0,ATL201706090,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,adamm002
0,ATL201706101,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,adamm002
0,ATL201706102,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,adamm002
0,ATL201706110,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,adamm002
0,ATL201706160,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,adamm002
0,ATL201706170,3,0,2,0,1,1,0,0,0,4,4,0,0,0,0,adamm002
0,ATL201706180,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,adamm002
0,ATL201706190,2,1,0,0,1,0,0,0,0,2,4,0,0,0,0,adamm002
0,ATL201706200,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,adamm002
0,ATL201706210,1,0,0,0,1,0,0,0,0,2,4,0,0,0,0,adamm002
0,ATL201706220,2,1,0,0,1,0,0,0,0,2,5,0,0,0,0,adamm002
0,ATL201706230,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,adamm002
0,ATL201706240,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,adamm002
0,ATL201706250,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,adamm002
0,ATL201707040,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,adamm002
0,ATL201707050,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,adamm002
0,ATL201707140,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,adamm002
0,ATL201707160,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,adamm002
0,ATL201707170,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,adamm002
0,ATL201707180,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,adamm002
0,ATL201707190,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,adamm002
0,ATL201708010,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,adamm002
0,ATL201708030,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,adamm002
0,ATL201708050,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,adamm002
0,ATL201708060,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,adamm002
0,ATL201708080,2,2,0,0,0,0,0,0,0,1,3,0,0,0,0,adamm002
0,ATL201708090,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,adamm002
0,ATL201708180,1,0,0,0,1,1,0,0,0,1,3,0,0,0,0,adamm002
0,ATL201708190,1,0,0,0,1,0,0,0,0,3,1,0,0,0,0,adamm002
0,ATL201708200,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,adamm002
