,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,SFN201904050,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,adamw002
0,SFN201904060,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0,adamw002
0,SFN201904070,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,adamw002
0,BOS201808170,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,adamw002
0,BOS201808180,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,adamw002
0,MIA201905140,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,adamw002
0,MIA201905150,1,1,0,0,0,2,0,0,0,0,2,0,0,0,0,adamw002
0,NYN201807060,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,adamw002
0,OAK201906200,1,1,0,0,0,0,1,1,0,1,3,0,0,0,0,adamw002
0,OAK201906210,3,2,0,0,1,0,0,0,0,1,4,0,0,0,0,adamw002
0,OAK201906220,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,adamw002
0,OAK201906230,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,adamw002
0,NYA201905170,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,adamw002
0,NYA201905180,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,adamw002
0,NYA201905190,2,1,0,0,1,0,0,0,0,1,4,0,0,0,0,adamw002
0,NYA201906170,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,adamw002
0,NYA201906180,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,adamw002
0,NYA201906190,1,0,1,0,0,1,0,0,0,0,3,0,0,0,0,adamw002
0,NYA201907150,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,adamw002
0,NYA201907160,3,1,2,0,0,0,0,0,0,0,4,0,0,0,0,adamw002
0,NYA201907181,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,adamw002
0,NYA201907182,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,adamw002
0,TOR201808100,3,1,2,0,0,1,0,0,0,0,3,0,0,0,0,adamw002
0,TOR201808110,2,2,0,0,0,0,0,0,0,1,4,0,0,0,0,adamw002
0,TOR201808120,2,2,0,0,0,0,0,0,0,1,4,0,0,0,0,adamw002
0,TOR201809040,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,adamw002
0,TOR201809050,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,adamw002
0,TOR201809200,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,adamw002
0,TOR201809210,1,1,0,0,0,1,0,0,0,1,5,0,0,0,0,adamw002
0,TOR201809220,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,adamw002
0,BOS201904270,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,adamw002
0,BOS201904280,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,adamw002
0,BOS201906070,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,adamw002
0,BOS201906081,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,adamw002
0,BOS201906082,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,adamw002
0,BOS201906090,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,adamw002
0,BOS201907300,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,adamw002
0,BOS201907310,2,1,0,0,1,0,0,0,0,1,4,0,0,0,0,adamw002
0,BOS201908010,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,adamw002
0,TBA201805220,1,0,0,0,1,0,0,0,0,1,4,0,0,0,0,adamw002
0,TBA201805230,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,adamw002
0,TBA201805240,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,adamw002
0,TBA201806110,1,1,0,0,0,1,0,0,1,2,2,0,0,0,0,adamw002
0,TBA201806120,2,1,1,0,0,0,0,0,0,0,4,0,0,0,0,adamw002
0,TBA201806130,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,adamw002
0,TBA201806220,2,2,0,0,0,0,0,0,0,1,4,0,0,0,0,adamw002
0,TBA201806230,2,1,0,0,1,0,0,0,0,2,4,0,0,0,0,adamw002
0,TBA201806240,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,adamw002
0,TBA201806250,1,1,0,0,0,1,0,0,0,1,3,0,0,0,0,adamw002
0,TBA201806280,2,1,1,0,0,0,0,0,0,0,3,0,0,0,0,adamw002
0,TBA201806290,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,adamw002
0,TBA201807010,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,adamw002
0,TBA201807090,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,adamw002
0,TBA201807100,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,adamw002
0,TBA201807110,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,adamw002
0,TBA201807220,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,adamw002
0,TBA201807230,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,adamw002
0,TBA201807240,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,adamw002
0,TBA201807250,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,adamw002
0,TBA201807310,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,adamw002
0,TBA201808010,2,1,0,0,1,0,0,0,0,2,4,0,0,0,0,adamw002
0,TBA201808020,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,adamw002
0,TBA201808030,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,adamw002
0,TBA201808040,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,adamw002
