,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,NYN201405150,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,almoz001
0,SLN201405260,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,almoz001
0,SLN201405280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,almoz001
0,CHN201405210,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,almoz001
0,NYA201405170,1,0,0,0,1,0,0,0,0,1,3,0,0,0,0,almoz001
0,NYA201405181,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,almoz001
0,NYA201405182,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,almoz001
0,NYA201406010,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,almoz001
0,CHA201405220,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,almoz001
0,CLE201407090,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,almoz001
0,TEX201407280,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,almoz001
0,TEX201407290,1,1,0,0,0,0,0,0,0,2,5,0,0,0,0,almoz001
0,TEX201407300,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,almoz001
