,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,BAL201606170,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,barnd001
0,BAL201606180,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,barnd001
0,BAL201606190,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,barnd001
0,BAL201608300,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,barnd001
0,CHA201606240,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,barnd001
0,CHA201606250,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,barnd001
0,CHA201606260,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,barnd001
0,ATL201405110,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,barnd001
0,ATL201408110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,barnd001
0,ATL201408120,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,barnd001
0,ATL201705170,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,barnd001
0,ATL201705180,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,barnd001
0,ARI201407190,2,1,0,1,0,0,0,0,0,0,4,0,0,0,0,barnd001
0,ANA201609150,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,barnd001
0,ANA201609160,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,barnd001
0,SFN201605110,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,barnd001
0,HOU201608010,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,barnd001
0,HOU201608020,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,barnd001
0,HOU201608030,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,barnd001
0,BOS201707170,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,barnd001
0,BOS201707180,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,barnd001
0,BOS201707190,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,barnd001
