,Game ID,Hits,Singles,Doubles,Triples,Home Runs,Walks,Bunts,Sacrifice Bunts,Sacrifice Flies,RBIs,At-bats,Stolen Bases,Caught Stealing,Picked Off,Errors,ID
0,SFN201909090,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,bellj005
0,SFN201909100,1,0,0,0,1,0,0,0,0,2,4,0,0,0,0,bellj005
0,SFN201909110,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,bellj005
0,SFN201909120,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,bellj005
0,ATL201906100,1,1,0,0,0,1,0,0,0,1,4,0,0,0,0,bellj005
0,ATL201906110,1,1,0,0,0,1,0,0,0,2,3,0,0,0,0,bellj005
0,ATL201906120,2,1,0,0,1,1,0,0,0,1,5,0,0,0,0,bellj005
0,ATL201906130,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,bellj005
0,ATL201705220,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,bellj005
0,ATL201705230,2,1,1,0,0,1,0,0,0,1,4,0,0,0,0,bellj005
0,ATL201705240,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,bellj005
0,ATL201705250,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,bellj005
0,PIT201607080,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,bellj005
0,PIT201607090,1,0,0,0,1,0,0,0,0,4,1,0,0,0,0,bellj005
0,PIT201607100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,bellj005
0,PIT201608200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,bellj005
0,PIT201608210,1,1,0,0,0,0,0,0,1,1,3,0,0,0,0,bellj005
0,PIT201608220,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,bellj005
0,PIT201608230,2,2,0,0,0,0,0,0,0,1,3,0,0,0,0,bellj005
0,PIT201608240,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,bellj005
0,PIT201609020,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,bellj005
0,PIT201609030,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,bellj005
0,PIT201609040,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,bellj005
0,PIT201609050,1,0,1,0,0,0,0,0,1,2,3,0,0,0,0,bellj005
0,PIT201609060,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,bellj005
0,PIT201609080,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,bellj005
0,PIT201609090,1,1,0,0,0,0,0,0,0,1,3,0,0,0,0,bellj005
0,PIT201609100,2,1,1,0,0,1,0,0,0,1,4,0,0,0,0,bellj005
0,PIT201609110,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,bellj005
0,PIT201609230,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,bellj005
0,PIT201609240,1,0,0,0,1,0,0,0,0,1,5,0,0,0,0,bellj005
0,PIT201609250,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,bellj005
0,PIT201609260,1,1,0,0,0,0,0,0,0,0,5,0,0,0,0,bellj005
0,PIT201609270,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,bellj005
0,PIT201609280,2,2,0,0,0,0,0,0,0,0,4,0,0,0,0,bellj005
0,PIT201609290,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,bellj005
0,MIL201706190,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,bellj005
0,MIL201706200,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,bellj005
0,MIL201706210,2,1,0,0,1,1,0,0,0,1,3,0,0,0,0,bellj005
0,MIL201706220,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,bellj005
0,MIL201708150,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,bellj005
0,MIL201708160,3,2,0,1,0,0,0,0,0,2,4,0,0,0,0,bellj005
0,MIL201709110,1,0,1,0,0,1,0,0,0,0,4,0,0,0,0,bellj005
0,MIL201709120,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,bellj005
0,MIL201709130,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,bellj005
0,NYN201706020,2,1,0,0,1,1,0,0,0,2,4,0,0,0,0,bellj005
0,NYN201706030,1,0,0,0,1,0,0,0,0,1,5,0,0,0,0,bellj005
